symbol,expiration,option_type,strike,bid,ask,last,volume,open_interest,implied_volatility,delta,gamma,theta,vega
GOOGL,2026-03-13,call,100.0,206.5,210.45,196.05,,,10.018558425903322,,,,
GOOGL,2026-03-13,call,105.0,0.0,0.0,217.71,2.0,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,110.0,0.0,0.0,212.75,2.0,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,165.0,0.0,0.0,147.43,,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,170.0,0.0,0.0,135.2,3.0,3.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,175.0,0.0,0.0,124.32,1.0,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,180.0,0.0,0.0,130.03,4.0,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,185.0,0.0,0.0,114.68,,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,190.0,0.0,0.0,109.35,3.0,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,200.0,0.0,0.0,115.25,1.0,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,205.0,0.0,0.0,93.95,1.0,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,210.0,0.0,0.0,96.0,4.0,4.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,215.0,0.0,0.0,82.57,1.0,0.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,220.0,0.0,0.0,89.19,2.0,1.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,225.0,0.0,0.0,81.85,1.0,3.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,230.0,0.0,0.0,79.57,1.0,1.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,235.0,0.0,0.0,63.3,1.0,3.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,240.0,0.0,0.0,68.5,1.0,24.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,245.0,0.0,0.0,61.05,6.0,1.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,250.0,0.0,0.0,58.13,1.0,22.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,255.0,0.0,0.0,45.33,168.0,20.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,260.0,0.0,0.0,49.01,2.0,39.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,262.5,0.0,0.0,36.27,,32.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,265.0,0.0,0.0,36.25,1.0,71.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,267.5,0.0,0.0,31.23,,28.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,270.0,0.0,0.0,31.95,35.0,80.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,272.5,0.0,0.0,37.21,2.0,40.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,275.0,0.0,0.0,33.57,1.0,41.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,277.5,0.0,0.0,31.75,1.0,40.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,280.0,0.0,0.0,29.26,8.0,56.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,282.5,0.0,0.0,19.5,10.0,32.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,285.0,0.0,0.0,23.38,4.0,55.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,287.5,0.0,0.0,20.78,4.0,114.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,290.0,0.0,0.0,19.65,40.0,267.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,292.5,0.0,0.0,17.38,1.0,198.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,295.0,0.0,0.0,13.69,31.0,318.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,297.5,0.0,0.0,11.65,46.0,560.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,300.0,0.0,0.0,9.2,443.0,1737.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,302.5,0.0,0.0,7.3,165.0,1254.0,1.0000000000000003e-05,,,,
GOOGL,2026-03-13,call,305.0,0.0,0.0,5.23,1592.0,9352.0,0.00196310546875,,,,
GOOGL,2026-03-13,call,307.5,0.0,0.0,3.55,6273.0,8391.0,0.0312596875,,,,
GOOGL,2026-03-13,call,310.0,0.0,0.0,2.16,21832.0,6527.0,0.062509375,,,,
GOOGL,2026-03-13,call,312.5,0.0,0.0,1.19,9600.0,12131.0,0.062509375,,,,
GOOGL,2026-03-13,call,315.0,0.0,0.0,0.6,7271.0,8639.0,0.12500875,,,,
GOOGL,2026-03-13,call,317.5,0.0,0.0,0.31,1877.0,4914.0,0.12500875,,,,
GOOGL,2026-03-13,call,320.0,0.0,0.0,0.12,2228.0,6667.0,0.12500875,,,,
GOOGL,2026-03-13,call,322.5,0.0,0.0,0.07,724.0,1356.0,0.12500875,,,,
GOOGL,2026-03-13,call,325.0,0.0,0.0,0.05,347.0,4870.0,0.2500075,,,,
GOOGL,2026-03-13,call,327.5,0.0,0.0,0.02,152.0,486.0,0.2500075,,,,
GOOGL,2026-03-13,call,330.0,0.0,0.0,0.02,252.0,2059.0,0.2500075,,,,
GOOGL,2026-03-13,call,332.5,0.0,0.0,0.01,7.0,590.0,0.2500075,,,,
GOOGL,2026-03-13,call,335.0,0.0,0.0,0.01,57.0,683.0,0.2500075,,,,
GOOGL,2026-03-13,call,337.5,0.0,0.0,0.19,1.0,158.0,0.2500075,,,,
GOOGL,2026-03-13,call,340.0,0.0,0.0,0.01,3.0,853.0,0.2500075,,,,
GOOGL,2026-03-13,call,342.5,0.0,0.0,0.01,1.0,53.0,0.2500075,,,,
GOOGL,2026-03-13,call,345.0,0.0,0.0,0.01,25.0,583.0,0.2500075,,,,
GOOGL,2026-03-13,call,347.5,0.0,0.0,0.02,1.0,7.0,0.500005,,,,
GOOGL,2026-03-13,call,350.0,0.0,0.0,0.01,1.0,1124.0,0.500005,,,,
