gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-09-12 11:51:00,Hudson Square,Buy,,main,Raises,900.0,700.0
2018-05-30 12:24:17,Maxim Group,Hold,Buy,down,,0.0,210.0
2018-06-08 12:27:50,Argus Research,Buy,Buy,main,Raises,56.25,52.5
2018-07-23 11:56:29,BMO Capital,Market Perform,Market Perform,main,Raises,184.0,171.0
2018-07-24 11:56:03,Morgan Stanley,Overweight,Overweight,main,Raises,232.0,214.0
2018-08-01 12:31:54,Deutsche Bank,Hold,Hold,main,Raises,175.0,165.0
2018-08-01 13:02:17,BMO Capital,Market Perform,Market Perform,main,Raises,199.0,184.0
2018-08-01 13:42:04,Canaccord Genuity,Buy,Buy,main,Raises,220.0,208.0
2018-08-02 13:54:06,Citigroup,Buy,Buy,main,Raises,230.0,200.0
2018-08-21 11:22:06,B of A Securities,Buy,Buy,main,Raises,250.0,230.0
2018-08-31 11:47:29,Nomura,Neutral,Neutral,main,Raises,210.0,190.0
2018-09-04 11:30:22,Canaccord Genuity,Buy,Buy,main,Raises,250.0,220.0
2018-09-05 11:19:57,Morgan Stanley,Overweight,Overweight,main,Raises,245.0,232.0
2018-09-05 11:41:34,DA Davidson,Buy,Buy,main,Raises,265.0,230.0
2018-09-13 12:05:24,Morgan Stanley,Overweight,Overweight,main,Raises,247.0,245.0
2018-09-13 16:55:04,B of A Securities,Buy,Buy,main,Raises,256.0,250.0
2018-09-27 10:42:07,JP Morgan,Overweight,,init,Announces,272.0,0.0
2018-09-28 11:48:42,Nomura,Neutral,Neutral,main,Raises,215.0,210.0
2018-10-19 09:52:29,Wedbush,Outperform,,init,Announces,310.0,0.0
2018-10-29 09:51:32,Jefferies,Buy,,init,Announces,265.0,0.0
2018-11-02 12:08:29,B of A Securities,Neutral,Buy,down,Lowers,220.0,235.0
2018-11-02 14:38:00,Citigroup,Buy,Buy,main,Lowers,240.0,265.0
2018-11-02 15:05:30,BMO Capital,Market Perform,Market Perform,main,Lowers,213.0,219.0
2018-11-02 16:01:55,Nomura,Neutral,Neutral,main,Lowers,185.0,215.0
2018-11-02 16:36:41,JP Morgan,Overweight,Overweight,main,Lowers,270.0,272.0
2018-11-02 17:33:54,Baird,Outperform,Outperform,main,Lowers,230.0,235.0
2018-11-08 17:16:23,Morgan Stanley,Overweight,Overweight,main,Raises,253.0,226.0
2018-11-14 11:14:11,Guggenheim,Neutral,Buy,down,,0.0,0.0
2018-11-14 14:19:17,UBS,Buy,Buy,main,Lowers,225.0,240.0
2018-11-20 12:01:31,Goldman Sachs,Neutral,,reit,Lowers,182.0,209.0
2018-11-29 14:22:18,Canaccord Genuity,Buy,Buy,main,Lowers,225.0,250.0
2018-12-04 10:39:28,HSBC,Hold,Buy,down,Lowers,200.0,205.0
2018-12-06 12:53:37,Rosenblatt,Neutral,,main,Lowers,165.0,200.0
2018-12-07 12:24:56,Morgan Stanley,Overweight,Overweight,main,Lowers,236.0,253.0
2018-12-10 15:35:38,Citigroup,Buy,Buy,main,Lowers,200.0,240.0
2018-12-14 11:37:29,DA Davidson,Buy,Buy,reit,Lowers,280.0,290.0
2019-01-03 12:07:27,Citigroup,Buy,Buy,main,Lowers,170.0,200.0
2019-01-03 12:25:37,Macquarie,Neutral,Outperform,down,,0.0,0.0
2019-01-03 12:59:27,B of A Securities,Neutral,Neutral,reit,Lowers,196.0,220.0
2019-01-03 13:11:46,Wells Fargo,Market Perform,Market Perform,reit,Lowers,160.0,210.0
2019-01-03 13:24:46,Morgan Stanley,Overweight,Overweight,main,Lowers,211.0,236.0
2019-01-03 13:39:54,Wedbush,Outperform,Outperform,main,Lowers,200.0,275.0
2019-01-03 14:34:04,Baird,Outperform,Outperform,main,Lowers,185.0,230.0
2019-01-03 14:57:24,Canaccord Genuity,Buy,Buy,main,Lowers,190.0,225.0
2019-01-03 15:33:11,Nomura,Neutral,Neutral,main,Lowers,175.0,185.0
2019-01-04 12:26:41,Citigroup,Buy,Buy,main,Lowers,170.0,200.0
2019-01-30 12:35:39,Nomura,Neutral,Neutral,main,Lowers,170.0,175.0
2019-01-30 12:41:57,UBS,Buy,Buy,main,Raises,185.0,180.0
2019-01-30 12:45:26,Canaccord Genuity,Buy,Buy,main,Lowers,185.0,190.0
2019-01-30 12:52:01,BMO Capital,Market Perform,Market Perform,main,Maintains,38.25,0.0
2019-01-30 12:52:11,Morgan Stanley,Overweight,Overweight,main,Lowers,197.0,211.0
2019-01-30 12:54:24,Citigroup,Buy,Buy,reit,Maintains,170.0,0.0
2019-01-30 14:13:54,B of A Securities,Neutral,Neutral,reit,Lowers,180.0,190.0
2019-03-11 10:47:52,B of A Securities,Buy,Neutral,up,,0.0,0.0
2019-03-14 11:27:29,Cowen & Co.,Outperform,,init,Announces,220.0,0.0
2019-03-21 11:47:39,Needham,Strong Buy,Buy,up,Raises,225.0,180.0
2019-03-21 11:51:03,Wedbush,Outperform,Outperform,main,Raises,215.0,200.0
2019-03-21 12:19:17,Citigroup,Buy,Buy,reit,Raises,220.0,170.0
2019-03-26 11:03:45,Morgan Stanley,Overweight,Overweight,main,Raises,220.0,197.0
2019-03-26 11:58:47,Canaccord Genuity,Buy,Buy,main,Raises,230.0,185.0
2019-03-26 11:59:33,Baird,Outperform,Outperform,main,Raises,200.0,185.0
2019-03-26 12:26:52,UBS,Buy,Buy,main,Raises,215.0,185.0
2019-04-10 10:26:39,HSBC,Reduce,Hold,down,Raises,180.0,160.0
2019-04-10 15:46:17,B of A Securities,Buy,Buy,reit,Raises,220.0,210.0
2019-04-11 12:07:54,Credit Suisse,Neutral,,init,Announces,209.0,0.0
2019-04-24 11:31:12,Morgan Stanley,Overweight,Overweight,main,Raises,234.0,220.0
2019-04-25 13:54:31,UBS,Buy,Buy,main,Raises,235.0,215.0
2019-05-01 12:12:10,Canaccord Genuity,Buy,Buy,main,Raises,245.0,230.0
2019-05-01 12:21:30,B of A Securities,Buy,Buy,main,Raises,230.0,220.0
2019-05-01 12:31:20,Wedbush,Outperform,Outperform,main,Raises,235.0,225.0
2019-05-01 12:34:43,Morgan Stanley,Overweight,Overweight,main,Raises,240.0,234.0
2019-05-01 12:37:00,Wells Fargo,Market Perform,Market Perform,main,Raises,215.0,190.0
2019-05-17 12:01:21,Nomura,Neutral,,main,Lowers,175.0,180.0
2019-05-23 13:23:48,UBS,Buy,,main,Lowers,225.0,235.0
2019-05-28 12:46:08,Citigroup,Buy,,main,Lowers,51.25,55.0
2019-05-30 11:23:32,Morgan Stanley,Overweight,,main,Lowers,231.0,240.0
2019-05-30 13:33:56,Morgan Stanley,Overweight,,main,Lowers,231.0,240.0
2019-06-04 11:08:59,Canaccord Genuity,Buy,,main,Lowers,202.0,245.0
2019-06-06 11:41:22,Evercore ISI Group,Outperform,,init,Announces,205.0,0.0
2019-06-20 10:18:49,Deutsche Bank,Hold,,init,Announces,205.0,0.0
2019-07-08 10:53:11,Rosenblatt,Sell,Neutral,down,,0.0,0.0
2019-07-09 11:20:18,JP Morgan,Overweight,,main,Raises,239.0,233.0
2019-07-17 13:07:06,Goldman Sachs,Neutral,,main,Raises,187.0,171.0
2019-07-18 10:24:58,Raymond James,Outperform,Market Perform,up,,0.0,0.0
2019-07-19 12:47:24,Nomura,Neutral,,main,Raises,180.0,175.0
2019-07-22 13:09:58,Morgan Stanley,Overweight,,main,Raises,247.0,231.0
2019-07-29 11:40:59,UBS,Buy,,main,Raises,235.0,225.0
2019-07-31 12:45:58,Wedbush,Outperform,,main,Raises,245.0,235.0
2019-07-31 12:49:30,Nomura,Neutral,,main,Raises,185.0,180.0
2019-07-31 13:20:23,Canaccord Genuity,Buy,,main,Raises,240.0,202.0
2019-07-31 13:31:20,Piper Sandler,Overweight,,main,Raises,243.0,230.0
2019-07-31 13:32:43,Cowen & Co.,Outperform,,main,Raises,250.0,220.0
2019-07-31 13:36:52,Citigroup,Buy,,main,Raises,250.0,205.0
2019-07-31 13:38:41,B of A Securities,Buy,,main,Raises,240.0,230.0
2019-07-31 13:54:52,Deutsche Bank,Hold,,main,Raises,210.0,205.0
2019-08-08 11:26:29,Barclays,Equal-Weight,,init,Announces,192.0,0.0
2019-09-11 11:57:28,B of A Securities,Buy,,reit,Raises,250.0,240.0
2019-09-11 12:12:15,Barclays,Equal-Weight,,main,Raises,207.0,192.0
2019-09-11 12:21:01,Needham,Strong Buy,,main,Raises,250.0,225.0
2019-09-13 12:51:22,Goldman Sachs,Neutral,,main,Lowers,165.0,187.0
2019-09-20 11:58:03,Cascend,Buy,,reit,Raises,270.0,260.0
2019-09-30 12:18:17,JP Morgan,Overweight,,main,Raises,265.0,243.0
2019-10-07 11:08:25,Nomura,Neutral,,main,Raises,205.0,185.0
2019-10-09 12:14:12,Canaccord Genuity,Buy,,main,Raises,260.0,240.0
2019-10-10 10:11:40,Longbow Research,Buy,Neutral,up,Announces,65.0,0.0
2019-10-11 12:57:57,Wedbush,Outperform,,main,Raises,265.0,245.0
2019-10-17 11:15:29,Barclays,Equal-Weight,,main,Raises,224.0,207.0
2019-10-21 11:32:24,Raymond James,Outperform,,main,Raises,280.0,250.0
2019-10-22 12:43:44,Deutsche Bank,Hold,,main,Raises,230.0,210.0
