date,eps_est,eps,surprise_pct
2001-10-10 09:00:00,0.44,0.44,
2002-01-16 07:00:00,0.52,0.52,-0.21
2002-04-09 07:00:00,0.54,0.54,
2002-07-11 07:00:00,0.49,0.49,-0.81
2002-10-09 06:00:00,0.48,0.48,
2003-01-16 07:00:00,0.56,0.55,-1.27
2003-04-09 04:00:00,0.51,0.51,0.76
2003-07-10 07:00:00,0.52,0.52,-0.11
2003-10-09 07:00:00,0.53,0.53,-0.67
2004-01-16 07:00:00,0.65,0.65,0.34
2004-04-08 07:00:00,0.56,0.57,1.29
2004-07-09 07:00:00,0.54,0.54,-0.76
2004-10-14 07:00:00,0.53,0.53,0.29
2005-01-18 07:00:00,0.67,0.67,0.3
2005-04-12 07:00:00,0.58,0.58,-0.17
2005-07-13 07:00:00,0.57,0.58,1.16
2005-10-19 07:00:00,0.58,0.58,0.25
2006-01-25 08:00:00,0.75,0.76,0.7
2006-04-19 08:00:00,0.57,0.57,-0.32
2006-07-19 07:00:00,0.57,0.66,15.32
2006-10-18 07:00:00,0.58,0.58,-0.17
2007-01-24 07:00:00,0.74,0.75,0.94
2007-04-18 07:00:00,0.52,0.53,1.15
2007-07-18 07:00:00,0.67,0.69,2.33
2007-10-17 07:00:00,0.66,0.67,1.08
2008-01-23 07:00:00,0.92,0.93,1.16
2008-04-16 07:00:00,0.62,0.63,1.4
2008-07-16 07:00:00,0.79,0.84,6.81
2008-10-15 07:00:00,0.77,0.79,2.07
2009-01-21 07:00:00,1.06,1.06,-0.09
2009-04-15 07:00:00,0.7,0.73,3.72
2009-07-15 07:00:00,0.89,0.89,0.42
2009-10-14 07:00:00,0.9,0.92,2.63
2010-01-27 07:00:00,1.17,1.18,0.74
2010-04-21 06:00:00,0.8,0.81,1.17
2010-07-21 07:00:00,1.0,1.01,0.97
2010-10-20 07:00:00,1.05,1.05,0.31
2011-01-26 07:00:00,1.29,1.3,0.67
2011-04-20 07:00:00,0.9,0.91,0.62
2011-07-20 07:00:00,1.12,1.12,0.39
2011-10-19 07:00:00,1.17,1.18,0.94
2012-01-25 07:00:00,1.44,1.45,0.92
2012-04-18 07:00:00,1.0,1.03,3.2
2012-07-18 07:00:00,1.22,1.23,1.09
2012-10-17 07:00:00,1.28,1.3,1.5
2013-01-23 07:00:00,1.5,1.51,0.78
2013-04-17 07:00:00,0.41,0.42,2.07
2013-07-17 07:00:00,0.44,0.46,4.44
2013-10-16 07:00:00,0.51,0.55,6.82
2014-01-22 07:00:00,0.58,0.58,-0.38
2014-04-16 07:00:00,0.36,0.41,14.45
2014-07-16 07:00:00,0.51,0.54,6.52
2014-10-22 07:00:00,0.6,0.62,3.66
2015-01-29 07:00:00,0.63,0.62,-1.79
2015-04-22 07:00:00,0.42,0.47,12.72
2015-07-22 07:00:00,0.5,0.52,3.53
2015-10-21 07:00:00,0.53,0.54,1.22
2016-01-28 07:00:00,0.61,0.62,1.72
2016-04-20 07:00:00,0.39,0.41,4.45
2016-07-20 07:00:00,0.53,0.55,3.17
2016-10-19 07:00:00,0.58,0.59,1.44
2017-01-25 07:00:00,0.65,0.65,0.64
2017-04-19 07:00:00,0.43,0.48,11.51
2017-07-20 07:00:00,0.61,0.62,2.45
2017-10-18 07:00:00,0.65,0.66,1.05
2018-01-24 07:00:00,0.73,0.74,1.17
2018-04-18 07:00:00,0.58,0.59,1.85
2018-07-18 07:00:00,0.71,0.73,2.86
2018-10-17 07:00:00,0.75,0.75,0.58
2019-01-23 07:00:00,0.81,0.81,0.17
2019-04-17 07:00:00,0.62,0.63,2.13
2019-07-17 07:00:00,0.8,0.82,2.23
2019-10-16 07:00:00,0.84,0.84,-0.16
2020-01-22 07:00:00,0.95,0.95,0.37
2020-04-16 08:00:00,0.61,0.65,7.27
2020-07-16 07:00:00,0.42,0.57,36.92
2020-10-21 07:00:00,0.91,0.98,8.0
2021-01-27 07:00:00,1.35,1.45,7.11
2021-04-20 07:00:00,1.27,1.32,3.99
2021-07-22 07:00:00,1.02,1.17,14.92
2021-10-20 07:00:00,0.95,1.4,47.91
2022-01-26 07:00:00,1.21,1.32,9.48
2022-04-20 07:00:00,1.46,1.73,18.09
2022-07-20 07:00:00,1.14,1.43,25.29
2022-10-19 07:00:00,0.94,1.15,22.9
2023-01-25 07:00:00,0.94,1.03,9.65
2023-04-19 07:00:00,0.99,1.03,4.31
2023-07-20 07:00:00,1.05,1.08,2.89
2023-10-18 07:00:00,1.1,1.14,3.7
2024-01-24 07:00:00,1.19,1.19,0.04
2024-04-17 07:00:00,0.95,0.98,2.81
2024-07-18 07:00:00,1.1,1.14,3.17
2024-10-16 07:00:00,1.2,1.21,0.76
2025-01-22 07:00:00,1.34,1.34,-0.17
2025-04-16 07:00:00,1.07,1.09,1.74
2025-07-17 07:00:00,1.26,1.26,0.28
2025-10-15 07:00:00,1.3,1.3,0.05
2026-01-22 07:00:00,1.49,1.5,0.34
2026-04-16 07:00:00,1.15,1.15,0.33
