date,eps_est,eps,surprise_pct
2001-10-17 17:00:00,-0.28,-0.28,1.18
2002-01-16 17:00:00,-0.18,-0.05,71.63
2002-04-17 17:00:00,-0.06,-0.03,48.94
2002-07-17 17:00:00,-0.44,-0.54,-22.73
2002-10-16 16:00:00,-0.67,-0.74,-10.89
2003-01-16 16:00:00,-0.43,-0.68,-59.73
2003-04-16 16:00:00,-0.49,-0.42,13.92
2003-07-16 16:00:00,-0.55,-0.4,26.67
2003-10-16 16:00:00,-0.36,-0.11,69.68
2004-01-20 16:00:00,0.04,0.09,134.38
2004-04-14 16:00:00,0.03,0.12,251.8
2004-07-14 16:00:00,0.09,0.09,-2.76
2004-10-07 16:00:00,0.12,0.12,-3.27
2005-01-18 16:00:00,0.07,0.05,-32.8
2005-04-13 16:00:00,0.02,-0.04,-314.48
2005-07-13 16:00:00,-0.05,0.03,156.13
2005-10-11 16:00:00,0.08,0.18,119.24
2006-01-18 16:00:00,0.26,0.45,73.27
2006-04-12 16:00:00,0.3,0.42,42.37
2006-07-20 16:00:00,0.2,0.18,-10.0
2006-10-18 16:00:00,0.23,0.23,-1.85
2007-01-23 16:00:00,0.12,-0.04,-132.97
2007-04-19 16:00:00,-0.43,-0.9,-108.74
2007-07-19 16:00:00,-0.79,-0.92,-16.38
2007-10-18 16:00:00,-0.61,-0.49,19.95
2008-01-17 16:00:00,-0.33,-0.17,47.73
2008-04-17 16:00:00,-0.47,-0.51,-7.67
2008-07-17 16:00:00,-0.52,-0.6,-15.92
2008-10-16 16:00:00,-0.39,-0.18,53.28
2009-01-22 16:00:00,-0.56,-0.69,-22.33
2009-04-21 16:00:00,-0.63,-0.62,1.65
2009-07-21 16:00:00,-0.51,-0.62,-20.73
2009-10-15 16:00:00,-0.45,-0.18,60.26
2010-01-21 16:00:00,-0.05,-0.08,-58.42
2010-04-15 15:00:00,-0.07,0.06,181.25
2010-07-15 16:00:00,0.06,0.11,79.59
2010-10-14 16:00:00,0.08,0.15,93.97
2011-01-20 16:00:00,0.11,0.14,33.33
2011-04-21 16:00:00,0.05,0.08,58.57
2011-07-21 16:00:00,0.08,0.09,12.78
2011-10-27 16:00:00,0.1,0.15,47.16
2012-01-24 16:00:00,0.16,0.19,17.86
2012-04-19 16:00:00,0.09,0.12,28.63
2012-07-19 16:00:00,0.07,0.06,-14.38
2012-10-18 16:00:00,-0.16,-0.2,-26.27
2013-01-22 16:00:00,-0.21,-0.14,32.92
2013-04-18 16:00:00,-0.17,-0.13,25.07
2013-07-18 16:00:00,-0.12,-0.09,27.54
2013-10-17 16:00:00,0.02,0.04,80.75
2014-01-21 16:00:00,0.06,0.06,5.93
2014-04-17 16:00:00,0.01,0.02,271.75
2014-07-17 16:00:00,0.03,0.02,-28.95
2014-10-16 16:00:00,0.04,0.03,-27.95
2015-04-16 16:00:00,-0.06,-0.09,-44.14
2015-07-16 16:00:00,-0.16,-0.17,-3.11
2015-10-15 16:00:00,-0.12,-0.17,-45.26
2016-01-19 16:00:00,-0.1,-0.1,1.27
2016-04-21 16:00:00,-0.13,-0.12,5.19
2016-07-21 16:00:00,-0.09,-0.05,41.55
2016-10-20 16:00:00,,0.03,855.41
2017-01-31 16:00:00,-0.02,-0.01,39.28
2017-05-01 16:00:00,-0.04,-0.04,2.46
2017-07-25 16:00:00,,0.02,7900.0
2017-10-24 16:00:00,0.08,0.1,32.56
2018-01-30 16:00:00,0.05,0.08,62.73
2018-04-25 16:00:00,0.09,0.11,25.67
2018-07-25 16:00:00,0.13,0.14,10.31
2018-10-24 16:00:00,0.12,0.13,4.57
2019-01-29 16:00:00,0.08,0.08,-5.44
2019-04-30 16:00:00,0.06,0.06,5.54
2019-07-30 16:00:00,0.08,0.08,2.3
2019-10-29 16:00:00,0.18,0.18,-2.29
2020-01-28 16:00:00,0.31,0.32,4.6
2020-04-28 17:00:00,0.18,0.18,-2.32
2020-07-28 16:00:00,0.17,0.18,8.78
2020-10-27 06:00:00,0.36,0.41,15.49
2021-01-26 16:00:00,0.48,0.52,9.46
2021-04-27 16:00:00,0.44,0.52,18.31
2021-07-27 16:00:00,0.54,0.63,16.95
2021-10-26 16:00:00,0.66,0.73,10.04
2022-02-01 16:00:00,0.76,0.92,21.38
2022-05-03 16:00:00,0.92,1.13,22.23
2022-08-02 16:00:00,1.04,1.05,1.37
2022-11-01 16:00:00,0.7,0.67,-4.83
2023-01-31 16:00:00,0.67,0.69,2.51
2023-05-02 16:00:00,0.56,0.6,6.5
2023-08-01 16:00:00,0.57,0.58,1.05
2023-10-31 16:00:00,0.68,0.7,3.59
2024-01-30 16:00:00,0.77,0.77,-0.01
2024-04-30 16:00:00,0.61,0.62,2.04
2024-07-30 16:00:00,0.68,0.69,1.26
2024-10-29 16:00:00,0.92,0.92,0.46
2025-02-04 16:00:00,1.09,1.09,0.36
2025-05-06 16:00:00,0.93,0.96,2.83
2025-08-05 16:00:00,0.48,0.48,-0.55
2025-11-04 16:00:00,1.17,1.2,2.48
2026-02-03 16:00:00,1.32,1.53,15.98
2026-05-05 16:00:00,1.29,1.37,5.82
