gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2019-10-25 14:04:51,JMP Securities,Market Outperform,,main,Lowers,2250.0,2275.0
2019-11-26 15:11:23,China Renaissance,Hold,,init,Announces,1850.0,0.0
2020-01-10 12:39:32,Bernstein,Market Perform,,init,Announces,2050.0,0.0
2020-01-16 13:57:06,Morgan Stanley,Overweight,,main,Raises,2200.0,2100.0
2020-01-17 12:56:30,UBS,Buy,,main,Raises,2305.0,2100.0
2020-01-22 15:42:15,Pivotal Research,Buy,,main,Raises,2250.0,2100.0
2020-01-23 20:16:05,"Monness, Crespi, Hardt",Buy,Buy,main,Announces,2250.0,0.0
2020-01-27 12:36:42,Benchmark,Buy,,main,Raises,2300.0,2100.0
2020-01-29 13:37:29,BMO Capital,Outperform,,main,Raises,2150.0,2000.0
2020-01-29 13:38:43,Deutsche Bank,Buy,,main,Raises,2275.0,2150.0
2020-01-31 10:51:03,Keybanc,Overweight,,main,Raises,2400.0,2200.0
2020-01-31 12:00:53,Wells Fargo,Overweight,,main,Raises,2500.0,2300.0
2020-01-31 12:02:27,Credit Suisse,Outperform,,main,Raises,2400.0,2100.0
2020-01-31 12:03:48,Mizuho,Buy,,main,Raises,2400.0,2150.0
2020-01-31 12:17:35,Oppenheimer,Outperform,Outperform,main,Raises,2400.0,2040.0
2020-01-31 12:33:51,Bernstein,Market Perform,Market Perform,main,Raises,2150.0,2050.0
2020-01-31 12:44:54,Raymond James,Outperform,,main,Raises,2400.0,2020.0
2020-01-31 12:51:20,UBS,Buy,,main,Raises,2440.0,2305.0
2020-01-31 12:59:56,Cowen & Co.,Outperform,,main,Raises,2650.0,2400.0
2020-01-31 13:01:07,Stifel,Buy,,main,Raises,2400.0,2150.0
2020-01-31 13:03:14,Goldman Sachs,Buy,,main,Raises,2600.0,2200.0
2020-01-31 13:05:40,JMP Securities,Market Outperform,,main,Raises,2450.0,2250.0
2020-01-31 13:07:38,Piper Sandler,Overweight,,main,Raises,2450.0,2150.0
2020-01-31 13:56:14,BMO Capital,Outperform,Outperform,main,Raises,2450.0,2150.0
2020-01-31 14:07:09,Baird,Outperform,,main,Raises,2275.0,2080.0
2020-01-31 15:18:03,DA Davidson,Buy,,reit,Raises,2625.0,2550.0
2020-01-31 15:27:21,RBC Capital,Outperform,,main,Raises,2700.0,2500.0
2020-01-31 15:45:11,Morgan Stanley,Overweight,,main,Raises,2400.0,2200.0
2020-01-31 16:12:56,Susquehanna,Positive,Positive,main,Raises,2500.0,2200.0
2020-01-31 16:24:32,B of A Securities,Buy,,main,Raises,2480.0,2330.0
2020-01-31 17:29:22,CFRA,Buy,,main,Raises,2300.0,1950.0
2020-01-31 20:22:00,"Monness, Crespi, Hardt",Buy,Buy,main,Raises,2650.0,2250.0
2020-02-05 12:26:40,Citigroup,Buy,,main,Raises,2400.0,2200.0
2020-02-13 15:45:38,Aegis Capital,Buy,,main,Raises,2525.0,2100.0
2020-03-17 15:24:12,Wedbush,Outperform,,main,Maintains,2325.0,0.0
2020-03-25 16:23:50,Jefferies,Buy,Buy,main,Maintains,2300.0,2300.0
2020-03-26 12:29:36,Deutsche Bank,Buy,,main,Lowers,2300.0,2400.0
2020-03-30 13:01:31,BMO Capital,Outperform,Outperform,main,Raises,2650.0,2450.0
2020-04-14 15:02:43,Mizuho,Buy,Buy,main,Lowers,2300.0,2350.0
2020-04-15 15:51:09,Baird,Outperform,,main,Raises,2550.0,2275.0
2020-04-22 15:13:19,Wedbush,Outperform,,main,Raises,2750.0,2325.0
2020-04-22 16:26:02,Jefferies,Buy,Buy,main,Raises,2800.0,2300.0
2020-04-23 13:01:46,Goldman Sachs,Buy,,main,Raises,2900.0,2600.0
2020-04-24 15:02:52,Stifel,Buy,,main,Raises,2600.0,2400.0
2020-04-24 15:41:03,MKM Partners,Buy,Buy,main,Raises,2500.0,2325.0
2020-04-27 12:25:49,Oppenheimer,Outperform,,main,Raises,2700.0,2400.0
2020-04-27 13:04:06,Credit Suisse,Outperform,,main,Raises,2800.0,2400.0
2020-04-27 15:04:53,SunTrust Robinson Humphrey,Buy,,main,Raises,2770.0,2450.0
2020-04-28 11:44:31,Bernstein,Market Perform,Market Perform,main,Raises,2400.0,2150.0
2020-04-30 13:30:35,Citigroup,Buy,,main,Raises,2700.0,2400.0
2020-05-01 10:04:10,Keybanc,Overweight,,main,Raises,2700.0,2400.0
2020-05-01 10:49:47,RBC Capital,Outperform,,main,Raises,2700.0,2600.0
2020-05-01 10:51:59,Mizuho,Buy,,main,Raises,2550.0,2300.0
2020-05-01 10:53:50,Pivotal Research,Buy,,main,Raises,2700.0,2450.0
2020-05-01 11:26:53,Morgan Stanley,Overweight,,main,Raises,2600.0,2400.0
2020-05-01 11:38:36,Raymond James,Outperform,,main,Raises,2525.0,2400.0
2020-05-01 11:50:17,Susquehanna,Positive,,main,Raises,3000.0,2500.0
2020-05-01 12:06:35,Credit Suisse,Outperform,,main,Lowers,2760.0,2800.0
2020-05-01 12:08:56,B of A Securities,Buy,,reit,Raises,2600.0,2480.0
2020-05-01 13:01:59,MKM Partners,Buy,,main,Raises,2525.0,2500.0
2020-05-01 13:09:08,UBS,Buy,,main,Raises,3000.0,2440.0
2020-05-01 14:40:23,BMO Capital,Outperform,,main,Raises,2850.0,2650.0
2020-05-01 14:42:10,Stifel,Buy,Buy,main,Maintains,2600.0,2600.0
2020-05-01 14:43:11,Benchmark,Buy,,main,Raises,2650.0,2450.0
2020-05-01 14:46:54,Guggenheim,Buy,,main,Raises,2700.0,2250.0
2020-05-01 14:50:18,Canaccord Genuity,Buy,,main,Raises,2750.0,2600.0
2020-05-01 14:51:05,Wedbush,Outperform,Outperform,main,Maintains,2750.0,2750.0
2020-05-01 15:50:32,JMP Securities,Market Outperform,,main,Raises,2850.0,2650.0
2020-05-01 16:55:54,SunTrust Robinson Humphrey,Buy,,main,Lowers,2700.0,2770.0
2020-05-01 19:19:29,"Monness, Crespi, Hardt",Buy,Buy,main,Raises,2800.0,2650.0
2020-05-06 16:15:02,China Renaissance,Hold,Hold,main,Raises,2162.0,1850.0
2020-05-26 14:27:14,B of A Securities,Buy,Buy,main,Maintains,2600.0,2600.0
2020-06-01 12:07:12,Morgan Stanley,Overweight,,main,Raises,2800.0,2600.0
2020-06-05 12:34:18,Pivotal Research,Buy,Buy,main,Announces,2700.0,2700.0
2020-06-08 13:00:25,RBC Capital,Outperform,,main,Raises,3300.0,2700.0
2020-06-08 13:13:22,Baird,Outperform,,main,Raises,2750.0,2550.0
2020-06-08 14:29:56,B of A Securities,Buy,Buy,main,Announces,3000.0,0.0
2020-06-10 16:27:50,Jefferies,Buy,Buy,main,Raises,3100.0,2800.0
2020-06-17 09:17:39,Needham,Buy,,init,Announces,3200.0,0.0
2020-06-24 14:53:33,Wedbush,Outperform,Outperform,main,Raises,3050.0,2750.0
2020-06-26 13:25:22,SunTrust Robinson Humphrey,Buy,,main,Raises,3400.0,2700.0
2020-06-26 13:27:00,Deutsche Bank,Buy,,main,Raises,3333.0,2750.0
2020-06-29 14:31:35,B of A Securities,Buy,Buy,main,Maintains,3000.0,3000.0
2020-06-30 13:29:25,Mizuho,Buy,,main,Raises,3100.0,2550.0
2020-07-01 15:22:43,Canaccord Genuity,Buy,Buy,main,Raises,3300.0,2750.0
2020-07-07 12:28:12,Baird,Outperform,,main,Raises,3300.0,2750.0
2020-07-10 16:33:52,Jefferies,Buy,Buy,main,Maintains,3100.0,3100.0
2020-07-13 10:46:34,Mizuho,Buy,,main,Raises,3450.0,3100.0
2020-07-13 14:05:09,Barclays,Overweight,Overweight,main,Raises,3430.0,2500.0
2020-07-16 11:47:25,Morgan Stanley,Overweight,,main,Raises,3450.0,2800.0
2020-07-20 12:35:18,MKM Partners,Buy,,main,Raises,3350.0,2525.0
2020-07-20 16:35:13,Jefferies,Buy,Buy,main,Raises,3800.0,3100.0
2020-07-24 08:41:22,Keybanc,Overweight,,main,Raises,3285.0,2700.0
2020-07-24 11:46:03,Bernstein,Market Perform,Market Perform,main,Raises,3300.0,2400.0
2020-07-24 12:35:20,Credit Suisse,Outperform,,main,Raises,3400.0,2760.0
2020-07-27 14:23:56,B of A Securities,Buy,,main,Raises,3280.0,3000.0
2020-07-27 14:58:41,Wedbush,Outperform,Outperform,main,Raises,3500.0,3050.0
2020-07-30 16:51:21,BMO Capital,Outperform,,main,Raises,3500.0,2850.0
2020-07-31 08:42:31,Keybanc,Overweight,,main,Raises,3500.0,3285.0
2020-07-31 10:59:14,Needham,Buy,,main,Raises,3700.0,3200.0
2020-07-31 11:40:53,Raymond James,Outperform,,main,Raises,3500.0,2525.0
2020-07-31 11:44:57,Morgan Stanley,Overweight,,main,Raises,3750.0,3450.0
2020-07-31 12:48:10,Credit Suisse,Outperform,,main,Raises,3680.0,3400.0
2020-07-31 13:42:37,Canaccord Genuity,Buy,,main,Raises,3800.0,3300.0
2020-07-31 14:07:42,Barclays,Overweight,Overweight,main,Raises,3530.0,3430.0
2020-07-31 15:05:41,Mizuho,Buy,Buy,main,Raises,3700.0,3450.0
2020-07-31 15:24:30,Baird,Outperform,Outperform,main,Raises,3500.0,3300.0
2020-07-31 15:34:04,Guggenheim,Buy,Buy,main,Raises,3600.0,2700.0
2020-07-31 15:43:30,MKM Partners,Buy,Buy,main,Raises,3650.0,3350.0
2020-07-31 16:53:16,DA Davidson,Buy,Buy,main,Raises,3800.0,2625.0
2020-07-31 19:22:02,Benchmark,Buy,Buy,main,Raises,3675.0,2650.0
2020-09-22 10:50:32,Bernstein,Outperform,Market Perform,up,Announces,3400.0,0.0
2020-10-01 13:00:23,Pivotal Research,Buy,,main,Raises,4500.0,3925.0
2020-10-07 10:53:24,Benchmark,Buy,,main,Raises,3800.0,3675.0
2020-10-09 16:11:24,Mizuho,Buy,,main,Raises,4000.0,3700.0
2020-10-15 11:32:15,Morgan Stanley,Overweight,,main,Lowers,3740.0,3750.0
2020-10-16 12:14:29,Morgan Stanley,Overweight,,main,Raises,3750.0,3740.0
2020-10-23 13:03:54,BMO Capital,Outperform,Outperform,main,Announces,3800.0,0.0
2020-10-27 12:39:33,Credit Suisse,Outperform,,main,Raises,3700.0,3680.0
2020-10-27 16:53:05,Deutsche Bank,Buy,,main,Raises,4050.0,4000.0
2020-10-30 11:48:27,Bernstein,Outperform,Outperform,main,Raises,3700.0,3400.0
2020-10-30 12:30:07,Credit Suisse,Outperform,,main,Raises,3750.0,3700.0
2020-10-30 14:10:50,Barclays,Overweight,Overweight,main,Raises,3660.0,3530.0
2020-10-30 15:27:29,Baird,Outperform,Outperform,main,Raises,3700.0,3500.0
2020-10-30 15:51:59,MKM Partners,Buy,Buy,main,Raises,3750.0,3650.0
2020-10-30 15:56:02,JP Morgan,Overweight,Overweight,main,Raises,4100.0,4050.0
2020-10-30 16:52:11,Piper Sandler,Overweight,,main,Raises,3903.0,3860.0
2020-10-30 17:12:08,Benchmark,Buy,,main,Raises,4000.0,3800.0
2020-11-03 16:14:44,Citigroup,Buy,,main,Raises,3600.0,3550.0
2020-11-04 11:58:07,China Renaissance,Buy,Hold,up,Announces,4000.0,0.0
2021-01-11 16:28:57,Baird,Outperform,Outperform,main,Maintains,3700.0,3700.0
2021-01-15 13:53:34,Morgan Stanley,Overweight,,main,Raises,3900.0,3750.0
2021-01-22 13:34:53,Credit Suisse,Outperform,,main,Raises,3860.0,3750.0
2021-01-27 17:47:14,Stifel,Buy,,main,Raises,3600.0,3500.0
2021-02-01 12:21:55,Oppenheimer,Outperform,Outperform,main,Raises,4100.0,3700.0
2021-02-03 10:26:46,Keybanc,Overweight,,main,Raises,3700.0,3500.0
2021-02-03 12:14:32,Pivotal Research,Buy,,main,Raises,4650.0,4500.0
2021-02-03 12:15:36,Raymond James,Outperform,,main,Raises,4000.0,3500.0
2021-02-03 12:17:43,JMP Securities,Market Outperform,,main,Raises,4350.0,4075.0
2021-02-03 12:22:52,Deutsche Bank,Buy,,main,Raises,4250.0,4050.0
2021-02-03 12:27:47,Barclays,Overweight,,main,Raises,3860.0,3660.0
2021-02-03 13:25:31,Morgan Stanley,Overweight,,main,Raises,4200.0,3900.0
2021-02-03 14:57:35,Credit Suisse,Outperform,Outperform,main,Raises,3940.0,3860.0
2021-02-03 15:06:44,Canaccord Genuity,Buy,,main,Raises,4100.0,3800.0
2021-02-03 15:45:14,Stifel,Buy,Buy,main,Raises,4000.0,3600.0
2021-02-03 16:16:33,JP Morgan,Overweight,,main,Raises,4400.0,4155.0
2021-02-03 16:35:40,Guggenheim,Buy,Buy,main,Raises,4000.0,3600.0
2021-02-03 16:40:21,Wedbush,Outperform,,main,Raises,4000.0,3900.0
2021-02-03 16:54:27,MKM Partners,Buy,Buy,main,Raises,3975.0,3750.0
2021-02-03 16:55:11,"Monness, Crespi, Hardt",Buy,,main,Raises,4250.0,4000.0
2021-02-03 17:04:09,Truist Securities,Buy,,main,Raises,3750.0,3650.0
2021-02-03 17:30:47,Jefferies,Buy,,main,Raises,4000.0,3800.0
2021-02-03 17:44:24,Cowen & Co.,Outperform,,main,Raises,4400.0,4350.0
2021-02-03 18:14:29,Benchmark,Buy,,main,Raises,4400.0,4000.0
2021-02-03 18:27:50,UBS,Buy,,main,Raises,4150.0,4000.0
2021-02-17 16:32:43,Citigroup,Buy,,main,Raises,3750.0,3600.0
2021-03-26 19:32:31,"Monness, Crespi, Hardt",Buy,Buy,main,Maintains,4250.0,4250.0
2021-03-31 11:59:47,Wolfe Research,Outperform,,init,,0.0,0.0
2021-04-01 15:37:22,Guggenheim,Buy,Buy,main,Maintains,4000.0,4000.0
2021-04-07 18:56:20,Piper Sandler,Overweight,Overweight,main,Maintains,3903.0,3903.0
2021-04-16 11:52:19,Credit Suisse,Outperform,,main,Raises,3950.0,3940.0
2021-04-21 14:23:23,Oppenheimer,Outperform,,main,Raises,4200.0,4100.0
2021-04-23 13:06:49,BMO Capital,Outperform,Outperform,main,Raises,4200.0,4000.0
2021-04-30 10:07:28,Keybanc,Overweight,,main,Raises,4000.0,3700.0
2021-04-30 10:57:44,JMP Securities,Market Outperform,,main,Raises,4500.0,4350.0
2021-04-30 10:58:51,Susquehanna,Positive,,main,Raises,5500.0,5200.0
2021-04-30 11:01:39,Morgan Stanley,Overweight,,main,Raises,4500.0,4200.0
2021-04-30 11:17:17,Mizuho,Buy,,main,Raises,4400.0,4000.0
2021-04-30 11:55:47,Bernstein,Outperform,Outperform,main,Raises,4000.0,3800.0
2021-04-30 11:59:35,Raymond James,Outperform,,main,Raises,4125.0,4000.0
2021-04-30 12:34:48,Canaccord Genuity,Buy,,main,Raises,4400.0,4100.0
2021-04-30 14:13:15,Barclays,Overweight,Overweight,main,Raises,4300.0,3860.0
2021-04-30 14:17:05,Truist Securities,Buy,,main,Raises,4000.0,3750.0
2021-04-30 14:19:04,UBS,Buy,,main,Raises,4350.0,4150.0
2021-04-30 14:23:34,Jefferies,Buy,,main,Raises,4200.0,4000.0
2021-04-30 14:32:40,Stifel,Buy,,main,Raises,4400.0,4000.0
2021-04-30 14:34:37,Needham,Buy,,main,Raises,4150.0,3700.0
2021-04-30 14:42:28,Wells Fargo,Overweight,,main,Raises,4500.0,4100.0
2021-04-30 14:48:20,BMO Capital,Outperform,,main,Raises,4300.0,4200.0
2021-04-30 15:12:53,Credit Suisse,Outperform,,main,Raises,4000.0,3950.0
2021-04-30 16:06:19,MKM Partners,Buy,Buy,main,Raises,4075.0,3975.0
2021-04-30 18:58:03,Piper Sandler,Overweight,Overweight,main,Raises,4000.0,3903.0
2021-05-03 16:16:55,China Renaissance,Buy,Buy,main,Raises,4500.0,4200.0
2021-05-12 13:56:05,Citigroup,Buy,,main,Raises,4175.0,3750.0
2021-06-17 19:54:21,Tigress Financial,Buy,Buy,main,Announces,4370.0,0.0
2021-06-18 16:51:22,JP Morgan,Overweight,,main,Maintains,4600.0,0.0
2021-06-18 19:36:45,"Monness, Crespi, Hardt",Buy,Buy,main,Announces,4500.0,0.0
2021-06-21 11:27:23,Loop Capital,Buy,Buy,main,Announces,3775.0,0.0
2021-06-21 16:32:01,Jefferies,Buy,Buy,main,Maintains,4200.0,4200.0
2021-06-28 16:36:42,Jefferies,Buy,Buy,main,Maintains,4200.0,4200.0
2021-07-21 12:01:58,Bernstein,Outperform,Outperform,main,Raises,4200.0,4000.0
2021-07-26 15:28:30,Credit Suisse,Outperform,,main,Raises,4850.0,4000.0
2021-07-30 11:08:35,Mizuho,Buy,,main,Lowers,4100.0,4400.0
2021-07-30 11:44:50,Raymond James,Outperform,,main,Lowers,3900.0,4125.0
2021-07-30 13:10:47,Credit Suisse,Outperform,,main,Lowers,4700.0,4850.0
2021-07-30 13:42:02,Cowen & Co.,Outperform,,main,Lowers,4400.0,4600.0
2021-07-30 13:51:10,UBS,Buy,,main,Lowers,4020.0,4350.0
