date,eps_est,eps,surprise_pct
2002-04-23 16:00:00,-0.01,-0.01,12.94
2002-07-23 17:00:00,-0.01,-0.01,23.3
2003-01-23 16:00:00,0.01,0.01,31.03
2003-04-24 16:00:00,,0.01,140.38
2003-07-22 16:00:00,,0.01,64.47
2003-10-21 16:00:00,,0.01,12.7
2004-01-27 16:00:00,0.01,0.01,1.9
2004-04-22 16:00:00,0.01,0.01,16.63
2004-07-22 16:00:00,0.01,0.01,28.57
2004-10-21 16:00:00,0.01,0.01,30.0
2005-02-02 16:00:00,0.02,0.04,130.73
2005-04-26 16:00:00,0.01,0.01,-2.17
2005-07-26 16:00:00,,0.01,45.99
2005-10-25 16:00:00,0.01,0.01,2.56
2006-02-02 16:00:00,0.01,0.01,21.48
2006-04-25 16:00:00,0.01,0.01,17.65
2007-02-01 16:00:00,0.01,0.01,16.75
2007-04-24 16:00:00,0.01,0.01,66.67
2007-07-24 16:00:00,0.01,0.01,19.8
2007-10-23 16:00:00,0.01,0.01,3.6
2008-01-30 16:00:00,0.02,0.02,1.31
2008-04-23 16:00:00,0.02,0.02,4.94
2008-07-23 16:00:00,0.01,0.02,42.31
2008-10-22 16:00:00,0.01,0.01,8.61
2009-01-29 16:00:00,0.02,0.03,34.3
2009-04-23 16:00:00,0.02,0.02,33.46
2009-07-23 16:00:00,0.02,0.02,4.1
2009-10-22 16:00:00,0.02,0.02,37.03
2010-01-28 16:00:00,0.04,0.04,18.32
2010-04-22 16:00:00,0.03,0.03,10.89
2010-07-22 16:00:00,0.03,0.02,-16.29
2010-10-21 16:00:00,0.02,0.03,8.51
2011-01-27 16:00:00,0.04,0.05,2.64
2011-04-26 16:00:00,0.03,0.02,-26.57
2011-07-26 16:00:00,0.02,0.02,22.9
2011-10-25 16:00:00,0.01,0.01,-38.16
2012-01-31 16:00:00,0.01,0.02,139.6
2012-04-26 16:00:00,,0.01,333.44
2012-10-25 16:00:00,,-0.03,-518.56
2013-01-29 16:00:00,0.01,0.01,-21.05
2013-04-25 16:00:00,,0.01,126.13
2014-01-30 16:00:00,0.03,0.03,-25.31
2014-04-24 16:00:00,0.01,0.01,2.68
2014-07-24 16:00:00,-0.01,-0.01,-146.8
2014-10-23 16:00:00,-0.04,-0.05,-26.06
2015-01-29 16:00:00,0.01,0.02,173.06
2015-04-23 16:00:00,,-0.01,-28.48
2015-07-23 16:00:00,-0.01,0.01,240.32
2015-10-22 16:00:00,-0.01,0.01,262.52
2016-01-28 16:00:00,0.08,0.05,-37.04
2016-04-28 16:00:00,0.03,0.05,76.92
2016-07-28 16:00:00,0.05,0.09,63.72
2016-10-27 16:00:00,0.04,0.03,-33.83
2017-02-02 16:00:00,0.07,0.08,9.7
2017-04-27 16:00:00,0.06,0.07,34.42
2017-07-27 16:00:00,0.07,0.02,-71.38
2017-10-26 16:00:00,,0.03,6290.48
2018-02-01 16:00:00,0.09,0.19,104.09
2018-04-26 16:00:00,0.06,0.16,165.81
2018-07-26 16:00:00,0.13,0.25,101.9
2018-10-25 16:00:00,0.16,0.29,85.11
2019-01-31 16:00:00,0.28,0.3,8.73
2019-04-25 16:00:00,0.23,0.35,51.77
2019-07-25 16:00:00,0.28,0.26,-6.51
2019-10-24 16:00:00,0.23,0.21,-7.08
2020-01-30 16:00:00,0.2,0.32,62.82
2020-04-30 17:00:00,0.31,0.25,-18.0
2020-07-30 16:00:00,0.08,0.52,582.21
2020-10-29 16:00:00,0.37,0.62,66.17
2021-02-02 16:00:00,0.36,0.7,97.39
2021-04-29 16:00:00,0.48,0.79,64.11
2021-07-29 16:00:00,0.62,0.76,22.57
2021-10-28 16:00:00,0.44,0.31,-30.85
2022-02-03 16:00:00,0.19,1.39,641.94
2022-04-28 16:00:00,0.41,-0.38,-191.55
2022-07-28 16:00:00,0.12,-0.2,-273.3
2022-10-27 16:00:00,0.21,0.28,33.0
2023-02-02 16:00:00,0.16,0.03,-81.68
2023-04-27 16:00:00,0.21,0.31,46.82
2023-08-03 16:00:00,0.34,0.65,91.19
2023-10-26 16:00:00,0.58,0.94,62.22
2024-02-01 16:00:00,0.8,1.0,24.38
2024-04-30 16:00:00,0.83,0.98,17.67
2024-08-01 12:00:00,1.02,1.26,23.76
2024-10-31 16:00:00,1.14,1.43,25.17
2025-02-06 16:00:00,1.48,1.86,25.36
2025-05-01 16:00:00,1.36,1.59,17.08
2025-07-31 16:00:00,1.33,1.68,26.13
2025-10-30 16:00:00,1.56,1.95,25.2
2026-02-05 16:00:00,1.95,1.95,0.22
2026-04-29 16:00:00,1.65,2.78,68.18
