date,eps_est,eps,surprise_pct
2005-02-01 16:00:00,0.01,0.02,29.09
2005-04-21 16:00:00,0.02,0.03,65.05
2005-07-21 16:00:00,0.03,0.03,7.44
2005-10-20 16:00:00,0.03,0.03,8.62
2006-01-31 16:00:00,0.04,0.03,-17.32
2006-04-20 16:00:00,0.04,0.05,13.98
2006-07-20 16:00:00,0.05,0.06,19.02
2006-10-19 16:00:00,0.05,0.06,13.07
2007-01-31 16:00:00,0.07,0.08,25.0
2007-04-19 16:00:00,0.07,0.08,8.83
2007-07-19 16:00:00,0.08,0.07,-2.62
2007-10-18 16:00:00,0.08,0.08,4.64
2008-01-31 16:00:00,0.11,0.11,-0.82
2008-04-17 16:00:00,0.1,0.1,4.97
2008-07-17 16:00:00,0.1,0.1,-1.78
2008-10-16 16:00:00,0.1,0.11,4.03
2009-01-22 16:00:00,0.1,0.03,-70.92
2009-04-16 16:00:00,0.1,0.11,7.32
2009-07-16 16:00:00,0.11,0.12,6.29
2009-10-15 16:00:00,0.12,0.13,9.01
2010-01-21 16:00:00,0.14,0.15,8.61
2010-05-05 19:00:00,0.15,0.15,3.51
2010-07-15 16:00:00,0.14,0.14,0.22
2010-10-14 16:00:00,0.15,0.17,14.08
2011-01-20 16:00:00,0.18,0.2,9.83
2011-04-14 16:00:00,0.18,0.18,-1.46
2011-07-14 16:00:00,0.17,0.19,12.82
2011-10-13 16:00:00,0.19,0.21,9.14
2012-01-19 16:00:00,0.23,0.21,-10.08
2012-04-12 16:00:00,0.21,0.22,4.48
2012-07-19 16:00:00,0.25,0.25,-0.04
2012-10-18 12:00:00,0.27,0.23,-15.68
2013-01-22 16:00:00,0.21,0.22,0.58
2013-04-18 16:00:00,0.22,0.25,12.69
2013-07-18 16:00:00,0.23,0.24,5.88
2013-10-17 16:00:00,0.21,0.22,2.73
2014-01-30 16:00:00,0.26,0.25,-3.19
2014-04-16 16:00:00,0.26,0.25,-4.8
2014-07-17 16:00:00,0.25,0.25,-1.72
2014-10-16 16:00:00,0.27,0.2,-23.93
2015-01-29 16:00:00,0.28,0.35,22.56
2015-04-23 16:00:00,0.27,0.26,-2.05
2015-07-16 16:00:00,0.27,0.25,-8.25
2015-10-22 16:00:00,0.29,0.29,-0.74
2016-02-01 16:00:00,0.4,0.43,7.13
2016-04-21 16:00:00,0.31,0.3,-4.21
2016-07-28 16:00:00,0.4,0.42,4.78
2016-10-27 16:00:00,0.34,0.36,8.13
2017-01-26 16:00:00,0.38,0.38,-0.52
2017-04-27 16:00:00,0.37,0.39,4.97
2017-07-24 16:00:00,0.22,0.25,13.25
2017-10-26 16:00:00,0.42,0.48,14.66
2018-02-01 16:00:00,0.5,-0.22,-143.27
2018-04-23 16:00:00,0.46,0.67,43.72
2018-07-23 16:00:00,0.19,0.23,21.83
2018-10-25 16:00:00,0.52,0.65,25.5
2019-02-04 16:00:00,0.54,0.64,17.57
2019-04-29 16:00:00,0.5,0.48,-4.97
2019-07-25 16:00:00,0.56,0.71,27.2
2019-10-28 16:00:00,0.62,0.51,-18.75
2020-02-03 16:00:00,0.63,0.77,22.57
2020-04-28 16:00:00,0.51,0.49,-3.38
2020-07-30 16:00:00,0.41,0.51,24.14
2020-10-29 16:00:00,0.56,0.82,46.24
2021-02-02 16:00:00,0.79,1.12,41.85
2021-04-27 16:00:00,0.78,1.31,67.76
2021-07-27 16:00:00,0.96,1.36,41.37
2021-10-26 16:00:00,1.17,1.4,20.02
2022-02-01 16:00:00,1.36,1.53,12.65
2022-04-26 16:00:00,1.29,1.23,-4.43
2022-07-26 16:00:00,1.27,1.21,-5.05
2022-10-25 16:00:00,1.25,1.06,-15.27
2023-02-02 16:00:00,1.19,1.05,-11.87
2023-04-25 16:00:00,1.07,1.17,9.52
2023-07-25 16:00:00,1.34,1.44,7.23
2023-10-24 16:00:00,1.45,1.55,6.74
2024-01-30 16:00:00,1.6,1.64,2.75
2024-04-25 16:00:00,1.51,1.89,25.58
2024-07-23 16:00:00,1.85,1.89,2.4
2024-10-29 16:00:00,1.85,2.12,14.83
2025-02-04 16:00:00,2.13,2.15,1.18
2025-04-24 16:00:00,2.01,2.81,40.1
2025-07-23 16:00:00,2.19,2.31,5.67
2025-10-29 16:00:00,2.26,2.87,26.88
2026-02-04 16:00:00,2.64,2.82,7.01
2026-04-29 16:00:00,2.67,5.11,91.59
