gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-02-22 14:06:00,Jefferies,Hold,,main,Raises,44.0,42.0
2012-02-22 16:12:00,UBS,Buy,,main,Raises,53.0,51.0
2012-03-20 10:30:00,Deutsche Bank,Hold,,main,Raises,50.0,48.0
2012-03-21 10:10:00,Credit Suisse,Outperform,,main,Raises,55.0,50.0
2012-03-26 12:48:00,Canaccord Genuity,Hold,,init,Announces,45.0,0.0
2012-04-16 10:13:00,Piper Sandler,Overweight,Neutral,up,Raises,62.0,47.0
2012-04-20 10:54:00,Goldman Sachs,Neutral,,main,Raises,54.0,52.0
2012-05-01 13:03:00,BMO Capital,Market Perform,,main,Raises,53.0,51.0
2012-05-15 14:53:00,Canaccord Genuity,Hold,,main,Raises,46.0,45.0
2012-06-07 10:09:00,Deutsche Bank,Hold,,main,Raises,53.0,50.0
2012-06-07 13:59:00,Jefferies,Hold,,main,Raises,46.0,44.0
2012-08-13 10:50:00,Jefferies,Hold,,main,Raises,48.0,46.0
2012-08-14 16:09:00,Canaccord Genuity,Hold,,main,Raises,56.0,46.0
2012-08-15 10:19:00,Deutsche Bank,Hold,,main,Raises,54.0,53.0
2012-08-15 10:26:00,Jefferies,Hold,,main,Raises,51.0,48.0
2012-08-15 10:36:00,JP Morgan,Overweight,,main,Raises,57.0,53.0
2012-08-15 10:38:00,Citigroup,Buy,,main,Raises,62.0,58.0
2012-08-17 15:40:00,UBS,Buy,,main,Raises,63.0,58.0
2012-08-24 11:13:00,B of A Securities,Buy,,main,Raises,70.0,60.0
2012-10-10 10:08:00,Oppenheimer,Perform,Outperform,down,Raises,67.0,61.0
2012-11-09 12:32:00,Jefferies,Hold,,main,Raises,56.0,51.0
2012-11-13 16:05:00,Canaccord Genuity,Hold,,main,Raises,57.0,56.0
2012-11-13 18:05:00,Piper Sandler,Overweight,,main,Raises,83.0,70.0
2012-11-13 18:23:00,B of A Securities,Buy,,main,Raises,75.0,72.0
2012-11-14 12:30:00,Nomura,Neutral,,main,Raises,63.0,55.0
2012-11-14 12:42:00,Jefferies,Hold,,main,Raises,58.0,56.0
2012-11-14 12:48:00,BMO Capital,Market Perform,,main,Raises,72.0,54.0
2012-11-14 13:12:00,Stifel,Buy,,main,Raises,69.0,59.0
2012-11-14 14:13:00,Gabelli & Co.,Hold,Buy,down,,0.0,0.0
2012-11-14 16:11:00,UBS,Buy,,main,Raises,70.0,68.0
2012-11-20 13:57:00,Goldman Sachs,Neutral,,main,Raises,65.0,64.0
2013-02-21 13:21:29,Stifel,Hold,Buy,down,Removes,0.0,69.0
2013-02-22 12:54:52,Jefferies,Hold,,main,Raises,59.0,58.0
2013-02-22 13:38:12,Oppenheimer,Outperform,Market Perform,up,Raises,76.0,67.0
2013-02-26 16:32:57,Canaccord Genuity,Hold,,main,Lowers,54.0,57.0
2013-02-27 12:35:57,Jefferies,Hold,,main,Raises,64.0,59.0
2013-02-27 12:47:14,Deutsche Bank,Hold,,main,Raises,70.0,66.0
2013-02-27 12:47:54,Nomura,Neutral,,main,Raises,70.0,63.0
