date,eps_est,eps,surprise_pct
2001-11-13 07:00:00,0.33,0.33,1.12
2002-02-26 08:00:00,0.29,0.3,4.78
2002-05-21 07:00:00,0.33,0.36,9.25
2002-08-20 07:00:00,0.47,0.5,5.95
2002-11-19 07:00:00,0.4,0.4,
2003-02-25 07:00:00,0.27,0.3,11.11
2003-05-20 07:00:00,0.37,0.39,6.56
2003-08-19 06:00:00,0.54,0.56,2.94
2003-11-18 06:00:00,0.46,0.5,8.23
2004-02-24 06:00:00,0.39,0.42,8.62
2004-05-18 06:00:00,0.43,0.49,13.22
2004-08-17 06:00:00,0.65,0.7,8.41
2004-11-16 06:00:00,0.57,0.6,6.04
2005-02-22 06:00:00,0.47,0.47,-1.01
2005-05-17 06:00:00,0.55,0.57,3.26
2005-08-16 06:00:00,0.79,0.82,3.27
2005-11-15 06:00:00,0.68,0.72,6.04
2006-02-21 06:00:00,0.56,0.6,6.57
2006-05-16 06:00:00,0.67,0.7,4.4
2006-08-15 06:00:00,0.92,0.93,1.09
2006-11-14 06:00:00,0.75,0.73,-2.93
2007-02-20 06:00:00,0.51,0.5,-1.24
2007-05-15 06:00:00,0.59,0.53,-10.75
2007-08-14 06:00:00,0.74,0.77,4.36
2007-11-13 06:00:00,0.6,0.59,-1.28
2008-02-26 06:00:00,0.43,0.4,-6.98
2008-05-20 06:00:00,0.37,0.41,11.29
2008-08-19 06:00:00,0.61,0.71,16.03
2008-11-18 06:00:00,0.39,0.45,16.77
2009-02-24 06:00:00,0.15,0.19,22.9
2009-05-19 06:00:00,0.28,0.35,25.1
2009-08-18 06:00:00,0.59,0.64,8.26
2009-11-17 06:00:00,0.35,0.41,15.59
2010-02-23 06:00:00,0.17,0.24,44.83
2010-05-18 06:00:00,0.39,0.45,13.99
2010-08-17 06:00:00,0.7,0.72,2.17
2010-11-16 06:00:00,0.48,0.51,6.43
2011-02-22 06:00:00,0.3,0.36,18.04
2011-05-17 06:00:00,0.49,0.5,1.31
2011-08-16 06:00:00,0.82,0.86,4.35
2011-11-15 06:00:00,0.58,0.6,2.69
2012-02-21 06:00:00,0.42,0.5,18.66
2012-05-15 06:00:00,0.64,0.65,1.38
2012-08-14 06:00:00,0.97,1.01,3.92
2012-11-13 06:00:00,0.7,0.74,5.43
2013-02-26 06:00:00,0.64,0.67,4.25
2013-05-21 06:00:00,0.76,0.83,9.25
2013-08-20 06:00:00,1.21,1.24,2.63
2013-11-19 06:00:00,0.9,0.95,6.11
2014-02-25 06:00:00,0.71,0.73,2.78
2014-05-20 06:00:00,0.98,0.96,-2.47
2014-08-19 06:00:00,1.45,1.52,4.94
2014-11-18 06:00:00,1.14,1.12,-1.61
2015-02-24 06:00:00,0.89,1.0,11.92
2015-05-19 06:00:00,1.15,1.16,0.59
2015-08-18 06:00:00,1.69,1.71,1.0
2015-11-17 06:00:00,1.32,1.36,3.23
2016-02-23 06:00:00,1.1,1.17,6.03
2016-05-17 06:00:00,1.35,1.44,6.62
2016-08-16 06:00:00,1.97,1.97,0.16
2016-11-15 06:00:00,1.58,1.6,1.25
2017-02-21 06:00:00,1.34,1.44,7.82
2017-05-16 06:00:00,1.61,1.67,3.49
2017-08-15 06:00:00,2.22,2.25,1.48
2017-11-14 06:00:00,1.82,1.84,1.0
2018-02-20 06:00:00,1.64,1.69,2.93
2018-05-15 06:00:00,2.05,2.08,1.43
2018-08-14 06:00:00,2.85,3.05,6.97
2018-11-13 06:00:00,2.27,2.51,10.74
2019-02-26 06:00:00,2.16,2.25,4.11
2019-05-21 06:00:00,2.19,2.27,3.67
2019-08-20 06:00:00,3.08,3.17,3.02
2019-11-19 06:00:00,2.53,2.53,0.13
2020-02-25 06:00:00,2.11,2.28,8.28
2020-05-19 06:00:00,2.26,2.08,-7.82
2020-08-18 06:00:00,3.72,4.02,8.06
2020-11-17 06:00:00,3.04,3.18,4.77
2021-02-23 06:00:00,2.62,2.74,4.59
2021-05-18 06:00:00,3.05,3.86,26.58
2021-08-17 06:00:00,4.43,4.53,2.33
2021-11-16 06:00:00,3.4,3.92,15.29
2022-02-22 06:00:00,3.18,3.21,0.87
2022-05-17 06:00:00,3.69,4.09,10.83
2022-08-16 06:00:00,4.93,5.05,2.36
2022-11-15 06:00:00,4.12,4.24,2.96
2023-02-21 06:00:00,3.29,3.3,0.4
2023-05-16 06:00:00,3.8,3.82,0.52
2023-08-15 06:00:00,4.44,4.65,4.68
2023-11-14 06:00:00,3.76,3.81,1.35
2024-02-20 06:00:00,2.77,2.82,1.63
2024-05-14 06:00:00,3.61,3.63,0.57
2024-08-13 06:00:00,4.55,4.6,1.16
2024-11-12 06:00:00,3.66,3.67,0.33
2025-02-25 06:00:00,3.04,3.02,-0.79
2025-05-20 06:00:00,3.59,3.56,-0.81
2025-08-19 06:00:00,4.69,4.68,-0.31
2025-11-18 06:00:00,3.83,3.74,-2.45
2026-02-24 06:00:00,2.52,2.72,7.8
2026-05-19 06:00:00,3.41,3.43,0.69
