gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-03-14 19:29:00,Oxen Group,Buy,,init,Announces,275.0,0.0
2012-03-23 15:44:00,UBS,Neutral,,main,Raises,203.0,195.0
2012-04-03 11:52:00,JP Morgan,Overweight,,main,Raises,225.0,210.0
2012-04-04 10:00:00,B of A Securities,Neutral,Buy,down,Raises,215.0,205.0
2012-04-16 10:12:00,Credit Suisse,Neutral,,main,Raises,200.0,175.0
2012-04-18 10:18:00,Canaccord Genuity,Hold,,main,Raises,205.0,195.0
2012-04-18 12:35:00,Citigroup,Buy,,main,Raises,235.0,205.0
2012-06-11 16:14:00,Barclays,Equal-Weight,,main,Lowers,208.0,217.0
2012-07-11 11:05:00,UBS,Buy,,init,,0.0,0.0
2012-07-11 11:45:00,Stifel,Buy,,main,Lowers,221.0,230.0
2012-07-19 10:09:00,Deutsche Bank,Buy,,main,Raises,225.0,220.0
2012-07-19 14:09:00,Goldman Sachs,Buy,,main,Raises,233.0,230.0
2012-07-19 16:29:00,UBS,Neutral,,main,Lowers,203.0,205.0
2012-08-24 11:27:00,JP Morgan,Overweight,,main,Lowers,215.0,218.0
2012-09-04 16:58:00,Barclays,Overweight,Equal-Weight,up,Raises,240.0,208.0
2012-09-21 10:34:00,Jefferies,Hold,,init,Announces,225.0,0.0
2012-10-01 10:41:00,Deutsche Bank,Buy,,main,Raises,240.0,225.0
2012-10-08 20:13:00,Citigroup,Buy,,init,Announces,250.0,0.0
2012-10-17 09:55:00,Societe Generale,Sell,Hold,down,,0.0,0.0
2012-10-17 14:38:00,Janney Montgomery Scott,Neutral,Buy,down,,0.0,0.0
2012-10-17 15:51:00,UBS,Neutral,,main,Raises,210.0,203.0
2012-12-21 12:15:37,Topeka Capital,Buy,,init,Announces,245.0,0.0
2013-01-14 11:45:48,JP Morgan,Neutral,Overweight,down,Lowers,197.0,215.0
2013-01-15 13:38:08,Stifel,Buy,,main,Lowers,241.0,243.0
2013-01-18 13:18:21,BMO Capital,Market Perform,,main,Raises,220.0,218.0
2013-01-23 11:26:47,Societe Generale,Hold,Sell,up,Raises,201.0,188.0
2013-01-23 13:11:44,BMO Capital,Market Perform,,main,Raises,233.0,220.0
2013-04-10 12:11:04,UBS,Buy,Neutral,up,,0.0,0.0
2013-04-19 11:44:55,BMO Capital,Market Perform,,main,Lowers,220.0,233.0
2013-04-19 12:06:58,Deutsche Bank,Buy,,main,Lowers,225.0,240.0
2013-04-19 12:24:37,Stifel,Buy,,main,Lowers,240.0,241.0
2013-04-22 12:15:19,Societe Generale,Hold,,main,Lowers,203.0,211.0
2013-07-09 11:27:30,Goldman Sachs,Neutral,Buy,down,Lowers,200.0,220.0
2013-07-12 12:34:29,Stifel,Buy,,main,Lowers,237.0,240.0
2013-07-15 11:49:50,Jefferies,Hold,,main,Lowers,210.0,225.0
2013-08-06 11:19:54,Credit Suisse,Underperform,Neutral,down,,0.0,0.0
2013-09-09 18:45:21,S&P Capital IQ,Strong Buy,Buy,up,Maintains,227.0,0.0
2013-09-19 20:27:41,Cantor Fitzgerald,Buy,,init,Announces,220.0,0.0
2013-10-07 10:27:35,Barclays,Equal-Weight,Overweight,down,Lowers,190.0,215.0
2013-10-14 11:45:34,Stifel,Buy,,main,Lowers,230.0,237.0
2013-10-17 10:42:43,Deutsche Bank,Buy,,main,Lowers,200.0,225.0
2013-10-17 10:55:20,Citigroup,Buy,,main,Lowers,235.0,250.0
2013-10-17 20:00:00,UBS,Neutral,Buy,down,,0.0,0.0
2013-10-18 11:34:02,Argus Research,Hold,Buy,down,,0.0,0.0
2013-12-06 21:00:00,Cowen & Co.,Market Perform,Outperform,down,,0.0,0.0
2014-04-10 12:12:44,Deutsche Bank,Hold,,init,Announces,200.0,0.0
2014-04-15 12:00:00,Citigroup,Neutral,Buy,down,,0.0,0.0
2014-04-16 03:54:04,Citigroup,Hold,Buy,down,Raises,200.0,235.0
2014-04-17 11:48:52,Stifel,Buy,,main,Lowers,218.0,220.0
2014-04-24 12:00:00,J. Safra Sarasin,Neutral,Buy,down,,0.0,0.0
2014-07-19 00:33:28,Barclays,Equal-Weight,,main,Raises,180.0,173.0
2014-07-19 03:30:54,UBS,Neutral,,main,Raises,195.0,186.0
2014-09-30 12:08:42,CLSA,Buy,,init,Announces,225.0,0.0
2014-10-21 12:30:00,Barclays,Equal-Weight,,main,Lowers,160.0,180.0
2014-10-21 14:11:58,Evercore ISI Group,Hold,Buy,down,Lowers,180.0,210.0
2014-12-23 05:00:00,Standpoint Research,Buy,,init,Announces,198.0,0.0
