date,eps_est,eps,surprise_pct
2001-10-16 16:00:00,0.89,0.9,0.86
2002-01-17 16:00:00,1.32,1.33,0.63
2002-04-17 16:00:00,0.69,0.68,-1.92
2002-07-17 16:00:00,0.86,0.89,4.06
2002-10-16 16:00:00,0.96,0.99,2.62
2003-01-16 16:00:00,1.3,1.34,3.27
2003-04-14 16:00:00,0.8,0.79,-0.91
2003-07-16 16:00:00,0.98,0.98,0.24
2003-10-15 16:00:00,1.02,1.02,-0.06
2004-01-15 07:00:00,1.5,1.56,4.35
2004-04-15 16:00:00,0.93,0.93,-0.31
2004-07-15 16:00:00,1.12,1.16,3.2
2004-10-18 16:00:00,1.14,1.17,2.45
2005-01-18 16:00:00,1.76,1.81,3.02
2005-04-14 16:00:00,0.9,0.85,-5.03
2005-07-18 16:00:00,1.03,1.12,8.21
2005-10-17 16:00:00,1.13,1.26,11.11
2006-01-17 16:00:00,1.94,2.11,8.91
2006-04-18 16:00:00,1.05,1.08,3.35
2006-07-18 16:00:00,1.29,1.3,0.93
2006-10-17 16:00:00,1.35,1.45,7.49
2007-01-18 16:00:00,2.19,2.26,3.18
2007-04-17 16:00:00,1.21,1.21,0.36
2007-07-18 16:00:00,1.47,1.5,1.82
2007-10-16 16:00:00,1.68,1.68,0.22
2008-01-14 07:00:00,2.6,2.8,7.75
2008-04-16 16:00:00,1.45,1.65,14.11
2008-07-17 16:00:00,1.82,1.98,9.02
2008-10-16 16:00:00,2.02,2.05,1.29
2009-01-20 16:00:00,3.04,3.28,7.91
2009-04-20 16:00:00,1.66,1.7,2.14
2009-07-16 16:00:00,2.01,2.32,15.22
2009-10-15 16:00:00,2.38,2.4,0.73
2010-01-19 16:00:00,3.47,3.59,3.43
2010-04-19 15:00:00,1.94,1.97,1.62
2010-07-19 16:00:00,2.57,2.61,1.37
2010-10-18 16:00:00,2.75,2.82,2.49
2011-01-18 16:00:00,4.08,4.18,2.45
2011-04-19 16:00:00,2.3,2.41,4.92
2011-07-18 16:00:00,3.03,3.09,2.03
2011-10-17 16:00:00,3.22,3.28,1.94
2012-01-19 16:00:00,4.62,4.71,1.88
2012-04-17 16:00:00,2.65,2.78,4.78
2012-07-18 16:00:00,3.43,3.51,2.48
2012-10-16 16:00:00,3.61,3.62,0.17
2013-01-22 16:00:00,5.25,5.39,2.73
2013-04-18 16:00:00,3.05,3.0,-1.66
2013-07-17 16:00:00,3.79,3.91,3.29
2013-10-16 16:00:00,3.96,3.99,0.77
2014-01-21 16:00:00,6.0,6.13,2.1
2014-04-16 16:00:00,2.54,2.54,-0.19
2014-07-17 16:00:00,4.31,4.32,0.2
2014-10-20 07:00:00,4.32,3.54,-18.03
2015-01-20 16:00:00,5.41,5.81,7.32
2015-04-20 16:00:00,2.84,2.91,2.46
2015-07-20 16:00:00,3.79,3.84,1.34
2015-10-19 16:00:00,3.3,3.34,1.07
2016-01-19 16:00:00,4.81,4.84,0.57
2016-04-18 16:00:00,2.17,2.35,8.21
2016-07-18 16:00:00,2.88,2.95,2.43
2016-10-17 16:00:00,3.23,3.29,1.76
2017-01-19 16:00:00,4.88,5.01,2.67
2017-04-18 16:00:00,2.35,2.38,1.39
2017-07-18 16:00:00,2.74,2.97,8.24
2017-10-17 16:00:00,3.28,3.3,0.73
2018-01-18 16:00:00,5.17,5.18,0.24
2018-04-17 16:00:00,2.42,2.45,1.4
2018-07-18 16:00:00,3.04,3.08,1.38
2018-10-16 16:00:00,3.4,3.42,0.54
2019-01-22 16:00:00,4.82,4.87,1.05
2019-04-16 16:00:00,2.24,2.25,0.62
2019-07-17 16:00:00,3.07,3.17,3.19
2019-10-16 16:00:00,2.66,2.68,0.75
2020-01-21 16:00:00,4.69,4.71,0.35
2020-04-20 17:00:00,1.8,1.84,2.16
2020-07-20 16:00:00,2.09,2.18,4.55
2020-10-19 16:00:00,2.58,2.58,0.04
2021-01-21 16:00:00,1.88,2.07,10.38
2021-04-19 16:00:00,1.65,1.77,7.12
2021-07-19 16:00:00,2.29,2.33,1.82
2021-10-20 16:00:00,2.51,2.52,0.21
2022-01-24 16:00:00,3.29,3.35,1.91
2022-04-19 16:00:00,1.42,1.4,-1.46
2022-07-18 16:00:00,2.29,2.31,0.9
2022-10-19 16:00:00,1.8,1.81,0.7
2023-01-25 16:00:00,3.61,3.6,-0.32
2023-04-19 16:00:00,1.24,1.36,9.73
2023-07-19 16:00:00,2.0,2.18,8.93
2023-10-25 16:00:00,2.13,2.2,3.5
2024-01-24 16:00:00,3.8,3.87,1.86
2024-04-24 16:00:00,1.6,1.68,5.2
2024-07-24 16:00:00,2.17,2.43,11.92
2024-10-23 16:00:00,2.23,2.3,3.33
2025-01-29 16:00:00,3.78,3.92,3.81
2025-04-23 16:00:00,1.43,1.6,12.12
2025-07-23 16:00:00,2.65,2.8,5.47
2025-10-22 16:00:00,2.45,2.65,8.31
2026-01-28 16:00:00,4.29,4.52,5.3
2026-04-22 16:00:00,1.81,1.91,5.45
