gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-04-18 10:30:00,JP Morgan,Neutral,,main,Raises,26.0,25.0
2012-04-18 11:37:00,Wedbush,Neutral,,main,Raises,28.0,26.0
2012-05-31 10:56:00,Morgan Stanley,Underweight,,init,Announces,26.0,0.0
2012-06-27 10:31:00,Citigroup,Buy,,main,Lowers,34.0,35.0
2012-07-18 10:19:00,Jefferies,Hold,,main,Lowers,29.0,30.0
2012-08-27 10:25:00,Citigroup,Buy,,main,Lowers,32.0,34.0
2012-08-27 10:27:00,Sterne Agee,Neutral,,main,Lowers,24.0,25.0
2012-09-04 10:42:00,Credit Suisse,Outperform,,main,Lowers,32.0,35.0
2012-09-05 12:04:00,Miller Tabak,Neutral,,main,Lowers,26.0,27.0
2012-09-06 14:43:00,UBS,Buy,,main,Lowers,33.0,34.0
2012-09-07 14:23:00,Piper Sandler,Neutral,,main,Lowers,22.0,23.0
2012-09-07 15:03:00,FBR Capital,Market Perform,,main,Lowers,26.0,30.0
2012-09-07 15:39:00,Canaccord Genuity,Hold,,main,Lowers,24.0,26.0
2012-09-07 16:19:00,Wedbush,Neutral,,main,Lowers,26.0,28.0
2012-09-07 16:49:00,Deutsche Bank,Buy,,main,Lowers,30.0,33.0
2012-09-07 21:30:00,ISI Group,Buy,,main,Lowers,29.0,0.0
2012-09-10 10:56:00,JP Morgan,Neutral,,main,Lowers,22.0,25.0
2012-09-10 11:13:00,Morgan Stanley,Underweight,,main,Lowers,24.0,26.0
2012-09-13 09:56:00,Citigroup,Neutral,Buy,down,Lowers,25.75,32.0
2012-09-13 10:37:00,Sterne Agee,Neutral,,main,Lowers,22.0,24.0
2012-09-26 12:21:00,Caris & Co.,Average,Buy,down,,0.0,0.0
2012-10-08 11:52:00,ISI Group,Buy,,main,Lowers,27.0,29.0
2012-10-10 11:03:00,Deutsche Bank,Buy,,main,Lowers,28.0,30.0
2012-10-10 16:50:00,Barclays,Equal-Weight,,main,Lowers,22.0,24.0
2012-10-12 12:27:00,Wedbush,Neutral,,main,Lowers,23.0,26.0
2012-10-17 10:27:00,Jefferies,Hold,,main,Lowers,24.0,29.0
2012-10-17 11:48:00,Stifel,Buy,,main,Lowers,28.0,33.0
2012-10-17 12:04:00,FBR Capital,Market Perform,,main,Lowers,23.0,24.0
2012-10-17 15:50:00,UBS,Buy,,main,Lowers,29.0,30.5
2012-11-16 16:48:00,Standpoint Research,Buy,Hold,up,,0.0,0.0
2012-12-10 16:13:48,Miller Tabak,Neutral,,main,Raises,25.0,23.0
2013-01-03 17:23:38,Barclays,Equal-Weight,,main,Lowers,20.0,22.0
2013-01-07 14:54:50,Lazard,Buy,Neutral,up,Announces,26.0,0.0
2013-01-07 15:10:12,Drexel Hamilton,Sell,Hold,down,,0.0,0.0
2013-01-18 11:42:27,Credit Suisse,Outperform,,main,Raises,32.0,28.0
2013-01-18 12:53:34,Deutsche Bank,Buy,,main,Lowers,26.0,28.0
2013-01-18 14:28:23,Morgan Stanley,Underweight,,main,Lowers,20.0,22.5
2013-02-26 13:46:57,Drexel Hamilton,Hold,Sell,up,Raises,22.0,18.0
2013-04-01 11:52:06,JMP Securities,Market Perform,Market Outperform,down,Removes,0.0,26.0
2013-04-04 11:56:16,Nomura,Reduce,,main,Lowers,18.0,19.0
2013-04-11 17:01:27,Argus Research,Hold,Buy,down,,0.0,0.0
2013-04-17 12:26:29,Drexel Hamilton,Buy,Hold,up,,0.0,0.0
2013-05-01 13:53:21,Standpoint Research,Hold,Buy,down,,0.0,0.0
2013-05-06 12:25:02,RBC Capital,Outperform,Sector Perform,up,Raises,29.0,24.0
2013-05-06 14:19:50,Topeka Capital,Buy,,init,Announces,28.0,0.0
2013-06-03 11:45:32,FBR Capital,Outperform,Market Perform,up,Raises,28.0,23.0
2013-06-07 10:25:04,Piper Sandler,Underweight,Neutral,down,Lowers,20.0,21.0
2013-06-10 11:39:56,Jefferies,Hold,,main,Raises,27.0,24.0
2013-07-08 11:51:16,Evercore ISI Group,Underweight,Equal-Weight,down,Lowers,20.0,22.0
2013-08-15 11:51:24,Baird,Neutral,Outperform,down,,0.0,0.0
2013-08-19 11:42:42,Piper Sandler,Neutral,Underweight,up,Raises,22.0,20.0
2013-08-30 12:06:45,Argus Research,Buy,Hold,up,,0.0,0.0
2013-09-13 10:36:04,Jefferies,Buy,Hold,up,Raises,30.0,27.0
2013-09-17 14:38:34,Credit Suisse,Outperform,,main,Raises,30.0,28.0
2013-10-11 11:24:45,Macquarie,Neutral,Outperform,down,Lowers,22.0,25.0
2013-10-16 10:54:30,B. Riley Securities,Buy,Neutral,up,Raises,0.0,0.0
2013-10-16 11:31:24,FBR Capital,Outperform,,main,Lowers,27.0,28.0
2013-10-22 15:15:23,Drexel Hamilton,Hold,,init,,26.0,0.0
2013-11-12 12:47:09,MKM Partners,Neutral,Buy,down,,0.0,0.0
2013-11-18 12:30:00,Mizuho,Buy,,init,Announces,30.0,0.0
2013-11-22 12:17:44,Nomura,Reduce,,main,Raises,20.0,18.0
2013-11-22 15:23:35,Citigroup,Neutral,,main,Raises,28.0,24.0
2013-11-22 15:47:43,Deutsche Bank,Buy,,main,Raises,28.0,26.0
2013-11-27 12:27:11,RBC Capital,Sector Perform,Outperform,down,Lowers,26.0,27.0
2013-12-06 21:00:00,Drexel Hamilton,Buy,Hold,up,Raises,30.0,26.0
2013-12-12 21:00:00,Nomura,Neutral,Reduce,up,Raises,24.0,20.0
2014-01-14 12:46:14,Nomura,Neutral,,main,Raises,27.0,24.0
2014-01-14 21:00:00,JP Morgan,Overweight,Neutral,up,Raises,29.0,20.0
2014-01-15 21:00:00,BMO Capital,Outperform,Market Perform,up,Raises,31.0,21.0
