date,eps_est,eps,surprise_pct
2002-04-16 16:00:00,0.15,0.16,7.28
2002-04-16 16:00:00,0.15,0.15,2.4
2002-07-16 16:00:00,0.11,0.1,-9.41
2002-07-16 16:00:00,0.11,0.12,11.8
2002-10-15 16:00:00,0.13,0.11,-12.41
2003-01-14 16:00:00,0.14,0.16,14.05
2003-04-15 16:00:00,0.12,0.14,20.1
2003-07-15 16:00:00,0.13,0.14,6.83
2003-10-14 16:00:00,0.23,0.25,7.69
2004-01-14 16:00:00,0.25,0.27,7.56
2004-04-13 16:00:00,0.27,0.28,3.84
2004-07-13 16:00:00,0.27,0.27,0.75
2004-10-12 16:00:00,0.27,0.26,-2.84
2005-01-11 16:00:00,0.31,0.33,5.77
2005-04-19 16:00:00,0.31,0.34,10.39
2005-07-19 16:00:00,0.33,0.33,0.8
2005-10-18 16:00:00,0.34,0.38,10.34
2006-01-17 16:00:00,0.43,0.4,-6.76
2006-04-19 16:00:00,0.22,0.23,5.02
2006-07-19 16:00:00,0.13,0.15,12.9
2006-10-17 16:00:00,0.17,0.21,20.69
2007-01-16 16:00:00,0.25,0.25,1.87
2007-04-17 16:00:00,0.22,0.22,0.83
2007-07-17 16:00:00,0.19,0.19,-1.08
2007-10-16 16:00:00,0.3,0.31,2.78
2008-01-15 16:00:00,0.4,0.38,-4.77
2008-04-15 16:00:00,0.26,0.25,-2.87
2008-07-16 04:00:00,0.26,0.28,9.3
2008-10-14 16:00:00,0.34,0.35,2.64
2009-01-15 16:00:00,0.05,0.04,-26.98
2009-04-14 16:00:00,0.03,0.11,285.83
2009-07-14 16:00:00,0.09,0.18,104.69
2009-10-13 16:00:00,0.28,0.33,18.28
2010-01-14 16:00:00,0.42,0.55,30.76
2010-04-13 15:00:00,0.38,0.43,13.02
2010-07-13 16:00:00,0.43,0.51,19.61
2010-10-12 16:00:00,0.5,0.52,4.49
2011-01-13 16:00:00,0.53,0.59,10.97
2011-04-19 16:00:00,0.46,0.59,29.27
2011-07-20 16:00:00,0.51,0.59,15.62
2011-10-18 16:00:00,0.61,0.69,13.23
2012-01-19 16:00:00,0.63,0.68,7.14
2012-04-17 16:00:00,0.53,0.56,6.09
2012-07-17 16:00:00,0.55,0.57,4.18
2012-10-16 16:00:00,0.52,0.6,14.89
2013-01-17 16:00:00,0.49,0.51,3.7
2013-04-16 16:00:00,0.44,0.4,-8.83
2013-07-17 16:00:00,0.4,0.39,-1.46
2013-10-15 16:00:00,0.53,0.58,9.05
2014-01-16 16:00:00,0.52,0.51,-2.33
2014-04-25 19:00:00,0.37,0.38,1.86
2014-07-15 16:00:00,0.52,0.55,5.08
2014-10-14 16:00:00,0.65,0.66,2.0
2015-01-15 16:00:00,0.66,0.74,12.06
2015-04-27 19:00:00,0.41,0.41,-0.78
2015-07-15 16:00:00,0.5,0.55,10.06
2015-10-13 16:00:00,0.59,0.64,8.84
2016-01-14 16:00:00,0.63,0.74,17.03
2016-04-19 16:00:00,0.48,0.54,12.78
2016-07-20 16:00:00,0.53,0.59,10.81
2016-10-18 16:00:00,0.72,0.8,10.74
2017-01-26 16:00:00,0.75,0.79,5.69
2017-04-27 16:00:00,0.65,0.66,2.0
2017-07-27 16:00:00,0.68,0.72,6.05
2017-10-26 16:00:00,0.8,1.01,25.75
2018-01-25 18:00:00,0.87,1.08,24.67
2018-04-26 16:00:00,0.72,0.87,21.15
2018-07-26 16:00:00,0.97,1.04,6.98
2018-10-25 16:00:00,1.15,1.4,21.92
2019-01-24 16:00:00,1.22,1.28,4.56
2019-04-25 16:00:00,0.87,0.89,2.35
2019-07-25 16:00:00,0.9,1.06,17.96
2019-10-24 16:00:00,1.24,1.42,14.56
2020-01-23 16:00:00,1.25,1.52,21.4
2020-04-23 16:00:00,1.26,1.45,14.95
2020-07-23 16:00:00,1.11,1.23,10.61
2020-10-22 16:00:00,1.11,1.11,0.23
2021-01-21 16:00:00,1.11,1.52,36.91
2021-04-22 16:00:00,1.14,1.39,21.71
2021-07-22 16:00:00,1.07,1.28,19.28
2021-10-21 16:00:00,1.11,1.71,53.61
2022-01-26 16:00:00,0.91,1.09,19.78
2022-04-28 16:00:00,0.8,0.87,9.16
2022-07-28 16:00:00,0.7,0.29,-58.29
2022-10-27 16:00:00,0.33,0.59,80.04
2023-01-26 16:00:00,0.2,0.1,-50.48
2023-04-27 16:00:00,-0.14,-0.04,72.19
2023-07-27 16:00:00,-0.03,0.13,546.43
2023-10-26 16:00:00,0.22,0.41,87.04
2024-01-25 16:00:00,0.45,0.54,20.29
2024-04-25 16:00:00,0.14,0.18,31.74
2024-08-01 12:00:00,0.1,0.02,-80.18
2024-10-31 16:00:00,-0.03,-0.46,-1533.52
2025-01-30 16:00:00,0.12,0.13,8.71
2025-04-24 16:00:00,,0.13,2769.76
2025-07-24 16:00:00,0.01,-0.1,-1169.52
2025-10-23 16:00:00,0.01,0.23,3121.29
2026-01-22 16:00:00,0.08,0.15,81.51
2026-04-23 16:00:00,0.01,0.29,2108.68
