date,eps_est,eps,surprise_pct
2021-11-15 16:00:00,-0.08,-0.09,-9.05
2022-03-28 16:00:00,-0.07,-0.39,-420.0
2022-05-16 16:00:00,-0.08,-0.02,73.91
2022-08-15 16:00:00,-0.1,-0.01,90.24
2022-11-14 16:00:00,-0.11,-0.12,-9.09
2023-03-30 16:00:00,-0.13,-0.09,30.77
2023-05-11 16:00:00,-0.11,-0.14,-31.25
2023-08-10 16:00:00,-0.12,-0.22,-76.0
2023-11-08 16:00:00,-0.15,-0.22,-46.67
2024-02-28 16:00:00,-0.18,-0.2,-9.89
2024-05-08 16:00:00,-0.25,-0.19,24.0
2024-08-07 12:00:00,-0.22,-0.18,18.18
2024-11-06 16:00:00,-0.23,-0.24,-5.88
2025-02-26 16:00:00,-0.25,-0.93,-272.0
2025-05-07 16:00:00,-0.29,-0.14,52.54
2025-08-06 16:00:00,-0.29,-0.7,-139.32
2025-11-05 16:00:00,-0.44,-3.58,-713.64
2026-02-25 16:00:00,-0.47,1.93,508.47
2026-05-06 16:00:00,-0.52,2.07,498.91
