gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-02-08 18:03:00,UBS,,Neutral,main,Raises,73.0,70.0
2012-04-03 12:15:00,Stifel,Hold,Buy,down,Removes,0.0,0.0
2012-04-12 10:15:00,Deutsche Bank,Buy,,main,Raises,80.0,75.0
2012-04-18 15:40:00,UBS,Neutral,,main,Raises,77.0,73.0
2012-08-13 13:29:00,Goldman Sachs,Neutral,Buy,down,,0.0,0.0
2012-08-17 16:34:00,Barclays,Overweight,,main,Lowers,41.0,81.0
2012-09-27 15:13:00,UBS,Neutral,,main,Raises,39.0,38.0
2012-10-10 13:12:00,Goldman Sachs,Neutral,,main,Raises,43.0,42.0
2012-10-15 16:16:00,CLSA,Underperform,Outperform,down,,0.0,0.0
2012-10-16 19:54:00,Citigroup,Buy,,main,Raises,46.0,45.5
2012-10-17 10:53:00,Deutsche Bank,Buy,,main,Raises,42.0,40.0
2013-01-10 14:16:39,Argus Research,Hold,Buy,down,,0.0,0.0
2013-02-13 15:49:25,UBS,Neutral,,main,Raises,41.0,39.0
2013-02-25 20:47:44,Tigress Financial,Neutral,,init,,0.0,0.0
2013-03-14 12:20:19,Credit Agricole,Outperform,Underperform,up,Raises,43.0,40.0
2013-04-12 13:20:35,Davenport,Neutral,Buy,down,Removes,0.0,42.0
2013-04-15 12:17:53,Deutsche Bank,Buy,,main,Raises,45.0,42.0
2013-04-17 10:34:22,B of A Securities,Buy,,main,Raises,46.0,44.0
2013-05-21 20:27:08,BMO Capital,Market Perform,,init,,0.0,0.0
2013-06-19 10:24:55,Credit Suisse,Outperform,,init,Announces,48.0,0.0
2013-06-24 12:45:01,SunTrust Robinson Humphrey,Buy,,init,Announces,47.0,0.0
2013-09-03 17:49:30,CLSA,Underperform,Outperform,down,,0.0,0.0
2013-09-19 11:32:35,SunTrust Robinson Humphrey,Buy,,main,Lowers,45.0,47.0
2013-11-25 22:12:48,RBC Capital,Outperform,,init,Announces,50.0,0.0
2013-12-02 15:46:24,Standpoint Research,Sell,,init,Announces,34.0,0.0
2013-12-12 21:00:00,Janney Montgomery Scott,Buy,,init,Announces,52.0,0.0
2014-01-30 13:00:00,Societe Generale,Buy,,init,,0.0,0.0
2014-03-04 13:00:00,UBS,Neutral,,init,,40.0,0.0
2014-03-16 22:13:08,Goldman Sachs,Neutral,,main,Raises,41.0,40.0
2014-03-22 02:59:51,Deutsche Bank,Buy,,main,Raises,50.0,47.0
2014-04-25 05:50:48,JP Morgan,Neutral,,main,Raises,48.0,44.0
2014-04-29 12:00:00,Nomura,Buy,,init,Announces,53.5,0.0
2014-06-09 20:53:17,Jefferies,Hold,,init,Announces,44.0,0.0
2014-07-17 02:14:45,Nomura,Buy,,main,Raises,54.0,53.5
2014-07-18 15:07:44,Societe Generale,Hold,Buy,down,,0.0,0.0
2014-07-24 02:36:55,Nomura,Buy,,main,Lowers,53.0,54.0
2014-08-25 13:04:36,Brasil Plural,Overweight,,init,Announces,46.0,0.0
2014-09-16 10:44:45,Cowen & Co.,Market Perform,,init,Announces,43.0,0.0
2014-10-22 09:25:02,Societe Generale,Sell,Hold,down,Lowers,37.5,42.0
2014-12-02 05:00:00,Tigress Financial,Buy,Neutral,up,,0.0,0.0
2014-12-16 14:00:00,Jefferies,Hold,,main,Lowers,40.0,42.0
2015-01-05 05:00:00,Morgan Stanley,Overweight,Equal-weight,up,,0.0,0.0
2015-01-26 14:00:00,Jefferies,Hold,,main,Raises,41.0,40.0
2015-02-11 14:00:00,Jefferies,Hold,,main,Raises,43.0,41.0
2015-04-07 09:57:55,Evercore ISI Group,Hold,,init,,0.0,0.0
2015-04-14 20:33:49,Susquehanna,Negative,,init,Announces,33.0,0.0
2015-06-01 09:04:00,BMO Capital,Outperform,Market Perform,up,Raises,48.0,44.0
2015-07-14 09:19:49,UBS,Buy,Neutral,up,Raises,48.0,44.0
2015-10-20 16:30:49,JP Morgan,Neutral,,main,Raises,48.0,46.0
2015-12-04 15:59:59,Tigress Financial,Neutral,Buy,down,,0.0,0.0
2015-12-04 16:26:57,Tigress Financial,Neutral,Buy,down,,0.0,0.0
2016-01-12 11:27:28,Stifel,Buy,Hold,up,,0.0,0.0
2016-01-25 09:01:05,Jefferies,Hold,,main,Raises,44.0,42.0
2016-01-28 18:01:43,Barclays,Equal-Weight,,main,Lowers,44.0,45.0
2016-01-29 09:45:24,Barclays,Equal-Weight,,main,Lowers,44.0,45.0
2016-02-05 12:24:05,UBS,Buy,Neutral,up,,0.0,0.0
2016-02-05 12:45:22,Susquehanna,Neutral,Negative,up,Raises,40.0,33.0
2016-02-24 12:59:19,HSBC,Buy,,main,Raises,50.0,46.0
2016-02-26 13:25:39,Sterne Agee,Neutral,Buy,down,,0.0,0.0
2016-03-10 13:01:33,RBC Capital,Outperform,,main,Raises,51.0,47.0
2016-03-15 11:41:09,Susquehanna,Neutral,,main,Lowers,39.0,40.0
2016-04-21 08:28:38,Citigroup,Buy,,main,Raises,50.0,49.0
2016-04-21 12:39:02,Goldman Sachs,Neutral,,main,Raises,47.0,46.0
2016-04-21 15:12:49,UBS,Buy,,main,Lowers,51.0,52.0
2016-06-29 10:43:55,Goldman Sachs,Neutral,,main,Lowers,45.0,47.0
