date,eps_est,eps,surprise_pct
2001-10-18 07:00:00,0.2,0.21,3.02
2002-01-29 07:00:00,0.18,0.19,0.82
2002-04-16 07:00:00,0.19,0.2,5.54
2002-07-17 07:00:00,0.26,0.26,0.26
2002-10-16 07:00:00,0.24,0.24,0.45
2003-02-12 07:00:00,0.2,0.2,0.54
2003-04-16 07:00:00,0.19,0.19,-0.8
2003-07-17 06:00:00,0.27,0.28,5.56
2003-10-16 06:00:00,0.26,0.28,5.9
2004-02-11 06:00:00,0.22,0.23,3.71
2004-04-21 06:00:00,0.22,0.23,5.02
2004-07-22 16:00:00,0.32,0.32,-0.05
2004-10-21 16:00:00,0.23,0.25,6.88
2005-02-16 07:00:00,0.2,0.23,15.58
2005-04-19 06:00:00,0.22,0.24,8.55
2005-07-21 06:00:00,0.32,0.34,5.7
2005-10-20 06:00:00,0.26,0.28,6.17
2006-02-07 06:00:00,0.22,0.23,3.6
2006-04-19 06:00:00,0.24,0.25,1.71
2006-07-18 07:00:00,0.36,0.38,4.62
2006-10-19 06:00:00,0.3,0.31,4.86
2007-02-14 06:00:00,0.25,0.26,3.86
2007-04-17 06:00:00,0.27,0.28,5.52
2007-07-17 07:00:00,0.41,0.43,3.91
2007-10-17 07:00:00,0.34,0.36,3.83
2008-02-13 07:00:00,0.27,0.29,5.6
2008-04-16 07:00:00,0.31,0.34,7.0
2008-07-17 06:00:00,0.48,0.51,5.41
2008-10-15 07:00:00,0.38,0.42,8.14
2009-02-12 08:00:00,0.31,0.32,4.09
2009-04-21 07:00:00,0.32,0.33,0.48
2009-07-21 07:00:00,0.44,0.46,3.6
2009-10-20 07:00:00,0.41,0.41,1.11
2010-02-09 07:00:00,0.33,0.33,-0.08
2010-04-20 06:00:00,0.37,0.4,8.4
2010-07-21 07:00:00,0.51,0.53,3.33
2010-10-19 07:00:00,0.45,0.46,3.35
2011-02-09 07:00:00,0.36,0.36,0.57
2011-04-26 07:00:00,0.43,0.43,-0.58
2011-07-19 07:00:00,0.58,0.59,0.76
2011-10-18 07:00:00,0.51,0.52,1.32
2012-02-07 07:00:00,0.39,0.4,1.62
2012-04-17 07:00:00,0.44,0.45,1.56
2012-07-17 07:00:00,0.59,0.61,2.63
2012-10-16 07:00:00,0.51,0.51,0.6
2013-02-12 07:00:00,0.44,0.45,3.44
2013-04-16 07:00:00,0.45,0.46,2.99
2013-07-16 07:00:00,0.63,0.63,-0.1
2013-10-15 07:00:00,0.53,0.53,-0.83
2014-02-18 07:00:00,0.46,0.46,-0.6
2014-04-15 07:00:00,0.44,0.44,-0.22
2014-07-22 07:00:00,0.63,0.64,1.2
2014-10-21 07:00:00,0.53,0.53,0.7
2015-02-10 07:00:00,0.42,0.44,4.46
2015-04-22 07:00:00,0.42,0.48,13.28
2015-07-22 07:00:00,0.6,0.63,4.79
2015-10-21 07:00:00,0.5,0.51,2.03
2016-02-09 06:00:00,0.37,0.38,2.16
2016-04-20 06:00:00,0.44,0.45,1.65
2016-07-27 06:00:00,0.58,0.6,3.18
2016-10-26 06:00:00,0.48,0.49,1.7
2017-02-09 07:00:00,0.37,0.37,1.19
2017-04-25 06:00:00,0.44,0.43,-1.27
2017-07-26 06:00:00,0.57,0.59,3.12
2017-10-25 06:00:00,0.49,0.5,2.67
2018-02-16 07:00:00,0.38,0.39,1.9
2018-04-24 07:00:00,0.46,0.47,3.09
2018-07-25 07:00:00,0.6,0.61,1.57
2018-10-30 07:00:00,0.55,0.58,6.0
2019-02-14 07:00:00,0.43,0.43,0.07
2019-04-23 07:00:00,0.46,0.48,3.68
2019-07-23 06:00:00,0.61,0.63,2.44
2019-10-18 06:00:00,0.56,0.56,-0.45
2020-01-30 06:00:00,0.44,0.44,0.65
2020-04-21 06:00:00,0.44,0.51,14.64
2020-07-21 06:00:00,0.41,0.42,2.37
2020-10-22 06:00:00,0.46,0.55,18.92
2021-02-10 06:00:00,0.42,0.47,12.45
2021-04-19 07:00:00,0.5,0.55,9.06
2021-07-21 07:00:00,0.56,0.68,20.51
2021-10-27 06:00:00,0.58,0.65,12.2
2022-02-10 06:00:00,0.41,0.45,9.35
2022-04-25 06:00:00,0.58,0.64,10.44
2022-07-26 07:00:00,0.67,0.7,4.69
2022-10-25 06:00:00,0.64,0.69,8.32
2023-02-14 06:00:00,0.45,0.45,0.18
2023-04-24 06:00:00,0.65,0.68,5.4
2023-07-26 06:00:00,0.72,0.78,8.14
2023-10-24 06:00:00,0.69,0.74,6.49
2024-02-13 06:00:00,0.49,0.49,0.33
2024-04-30 06:00:00,0.7,0.72,3.4
2024-07-23 06:00:00,0.81,0.84,4.26
2024-10-23 06:00:00,0.75,0.77,3.18
2025-02-11 06:00:00,0.52,0.55,6.38
2025-04-29 06:00:00,0.72,0.73,1.95
2025-07-22 07:00:00,0.84,0.87,3.93
2025-10-21 06:00:00,0.78,0.82,5.32
2026-02-10 06:00:00,0.56,0.58,2.69
2026-04-28 07:00:00,0.81,0.86,5.88
