gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2021-05-03 13:49:05,Argus Research,Buy,Buy,main,Raises,385.0,347.0
2022-01-19 14:02:18,Morgan Stanley,Overweight,,main,Raises,395.0,365.0
2022-01-26 11:51:07,RBC Capital,Outperform,,main,Lowers,400.0,415.0
2022-02-03 09:35:52,Keybanc,Overweight,,main,Lowers,280.0,420.0
2022-02-03 10:22:03,Raymond James,Outperform,Strong Buy,down,Lowers,340.0,410.0
2022-02-03 10:23:37,BMO Capital,Market Perform,Outperform,down,Lowers,290.0,425.0
2022-02-03 11:36:13,Mizuho,Buy,,main,Lowers,425.0,450.0
2022-02-03 11:43:05,JMP Securities,Market Outperform,,main,Lowers,350.0,400.0
2022-02-03 11:46:36,Barclays,Overweight,,main,Lowers,350.0,420.0
2022-02-03 11:47:05,Goldman Sachs,Buy,,main,Lowers,355.0,445.0
2022-02-03 11:49:16,Piper Sandler,Neutral,,main,Lowers,301.0,385.0
2022-02-03 11:50:00,Truist Securities,Buy,,main,Lowers,350.0,400.0
2022-02-03 11:53:37,UBS,Buy,,main,Lowers,280.0,400.0
2022-02-03 12:21:26,JP Morgan,Neutral,Overweight,down,Announces,284.0,0.0
2022-02-03 12:51:36,Morgan Stanley,Overweight,,main,Lowers,360.0,395.0
2022-02-03 14:03:08,Credit Suisse,Outperform,,main,Lowers,336.0,430.0
2022-02-03 15:26:31,Loop Capital,Hold,Buy,down,Lowers,230.0,380.0
2022-02-04 10:46:05,DZ Bank,Sell,Hold,down,Announces,225.0,0.0
2022-02-04 11:39:31,China Renaissance,Hold,Buy,down,Announces,280.0,0.0
2022-02-04 12:32:47,Rosenblatt,Buy,,main,Lowers,300.0,400.0
2022-02-04 13:58:18,Argus Research,Hold,Buy,down,,0.0,0.0
2022-02-08 13:53:12,KGI Securities,Neutral,Outperform,down,Announces,270.0,0.0
2022-03-01 12:45:48,Benchmark,Hold,,init,,0.0,0.0
2022-03-02 14:27:29,Morgan Stanley,Overweight,,main,Lowers,325.0,360.0
2022-03-08 13:57:08,Piper Sandler,Neutral,,main,Lowers,240.0,301.0
2022-03-11 10:10:16,Deutsche Bank,Buy,,init,Announces,265.0,0.0
2022-04-05 13:08:17,UBS,Buy,,main,Raises,300.0,280.0
2022-04-13 10:45:00,RBC Capital,Outperform,,main,Lowers,240.0,245.0
2022-04-19 12:39:19,Rosenblatt,Neutral,,init,Announces,228.0,0.0
2022-04-19 13:10:52,JMP Securities,Market Outperform,,main,Lowers,265.0,350.0
2022-04-20 09:04:13,Citigroup,Buy,Neutral,up,Raises,300.0,258.0
2022-04-21 11:11:23,Credit Suisse,Outperform,,main,Lowers,272.0,336.0
2022-04-25 11:41:32,Mizuho,Buy,,main,Lowers,325.0,425.0
2022-04-28 10:15:49,Piper Sandler,Neutral,,main,Lowers,230.0,240.0
2022-04-28 11:15:48,Morgan Stanley,Overweight,,main,Raises,330.0,325.0
2022-04-28 11:18:44,Raymond James,Outperform,,main,Lowers,290.0,340.0
2022-04-28 11:22:00,Susquehanna,Positive,,main,Lowers,290.0,375.0
2022-04-28 11:45:20,BMO Capital,Market Perform,,main,Lowers,222.0,225.0
2022-04-28 12:06:26,Truist Securities,Buy,,main,Lowers,320.0,350.0
2022-04-28 12:15:38,Credit Suisse,Outperform,,main,Raises,273.0,272.0
2022-04-28 12:36:12,Wedbush,Neutral,,main,Lowers,220.0,270.0
