date,eps_est,eps,surprise_pct
2012-07-26 16:00:00,-0.14,-0.08,43.24
2012-10-23 16:00:00,0.06,-0.02,-134.07
2013-01-30 16:00:00,-0.01,0.03,308.48
2013-05-01 16:00:00,0.08,0.09,18.09
2013-07-24 16:00:00,0.14,0.19,38.41
2013-10-30 16:00:00,0.12,0.17,40.73
2014-01-29 16:00:00,0.2,0.2,-0.29
2014-04-23 16:00:00,0.17,0.25,49.93
2014-07-23 16:00:00,0.24,0.3,22.72
2014-10-28 16:00:00,0.31,0.3,-3.1
2015-01-28 16:00:00,0.23,0.25,9.7
2015-04-22 16:00:00,0.16,0.18,10.21
2015-07-29 16:00:00,0.24,0.25,4.24
2015-11-04 16:00:00,0.52,0.57,9.63
2016-01-27 16:00:00,0.42,0.54,27.56
2016-04-27 16:00:00,0.4,0.52,29.18
2016-07-27 16:00:00,0.57,0.71,25.23
2016-11-02 16:00:00,0.71,0.82,15.41
2017-02-01 16:00:00,1.04,1.21,15.93
2017-05-03 16:00:00,0.87,1.04,19.82
2017-07-26 16:00:00,1.12,1.32,17.76
2017-11-01 16:00:00,1.28,1.59,23.94
2018-01-31 16:00:00,1.97,2.21,12.3
2018-04-25 16:00:00,1.35,1.69,24.81
2018-07-25 16:00:00,1.71,1.74,1.93
2018-10-30 16:00:00,1.45,1.76,21.14
2019-01-30 16:00:00,2.18,2.38,9.35
2019-04-24 16:00:00,1.61,0.85,-47.31
2019-07-24 16:00:00,1.85,0.91,-50.78
2019-10-30 16:00:00,1.91,2.12,10.84
2020-01-29 16:00:00,2.53,2.56,1.26
2020-04-29 17:00:00,1.7,1.71,0.66
2020-07-30 16:00:00,1.37,1.8,31.2
2020-10-29 16:00:00,1.91,2.71,41.95
2021-01-27 16:00:00,3.2,3.88,21.43
2021-04-28 16:00:00,2.35,3.3,40.65
2021-07-28 16:00:00,3.01,3.61,20.04
2021-10-25 16:00:00,3.18,3.22,1.32
2022-02-02 16:00:00,3.83,3.67,-4.1
2022-04-27 16:00:00,2.55,2.72,6.82
2022-07-27 16:00:00,2.55,2.46,-3.38
2022-10-26 16:00:00,1.86,1.64,-12.06
2023-02-01 16:00:00,2.24,1.76,-21.53
2023-04-26 16:00:00,1.98,2.2,11.2
2023-07-26 16:00:00,2.91,2.98,2.51
2023-10-25 16:00:00,3.63,4.39,20.9
2024-02-01 16:00:00,4.94,5.33,7.88
2024-04-24 16:00:00,4.32,4.71,8.92
2024-07-31 16:00:00,4.76,5.16,8.45
2024-10-30 16:00:00,5.29,6.03,13.94
2025-01-29 16:00:00,6.76,8.02,18.67
2025-04-30 16:00:00,5.22,6.43,23.11
2025-07-30 16:00:00,5.9,7.14,20.96
2025-10-29 16:00:00,6.71,1.05,-84.34
2026-01-28 16:00:00,8.22,8.88,8.0
2026-04-29 16:00:00,6.66,10.44,56.79
