gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-02-09 11:00:00,Deutsche Bank,Hold,Buy,down,Maintains,95.0,0.0
2012-04-25 10:07:00,Jefferies,Buy,,main,Raises,108.0,102.0
2012-04-25 11:02:00,Goldman Sachs,Sell,,main,Raises,90.0,87.0
2012-04-25 14:38:00,UBS,Buy,,main,Raises,100.0,95.0
2012-06-07 11:12:00,Jefferies,Buy,,main,Raises,108.0,102.0
2012-07-12 09:52:00,Citigroup,Neutral,,main,Lowers,87.0,89.0
2012-07-16 09:55:00,Morgan Stanley,Overweight,Equal-Weight,up,Announces,102.0,0.0
2012-09-05 10:52:00,Citigroup,Neutral,,main,Raises,90.0,87.0
2012-09-10 11:02:00,JP Morgan,Neutral,,main,Raises,94.0,83.0
2012-09-24 12:19:00,Jefferies,Buy,,main,Raises,110.0,108.0
2012-10-24 11:32:00,Deutsche Bank,Hold,,main,Lowers,94.0,95.0
2012-10-24 13:56:00,Jefferies,Buy,,main,Lowers,107.0,110.0
2012-11-09 13:03:00,Nomura,Neutral,Reduce,up,Raises,96.0,88.0
2012-12-13 13:12:49,Deutsche Bank,Hold,,main,Raises,100.0,94.0
2012-12-14 15:00:04,JP Morgan,Neutral,,main,Raises,97.0,94.0
2013-01-03 13:16:59,Jefferies,Buy,,main,Raises,110.0,107.0
2013-01-11 11:42:16,JP Morgan,Underweight,Neutral,down,Maintains,97.0,0.0
2013-01-25 12:48:50,Credit Suisse,Neutral,,main,Raises,103.0,100.0
2013-01-25 12:59:31,Deutsche Bank,Hold,,main,Raises,108.0,100.0
2013-01-29 17:28:48,UBS,Buy,,main,Raises,110.0,100.0
2013-03-06 18:37:48,Tigress Financial,Buy,,init,,0.0,0.0
2013-03-18 10:29:39,Citigroup,Neutral,,main,Raises,112.0,96.0
2013-03-18 12:01:22,Morgan Stanley,Overweight,,main,Raises,113.0,111.0
2013-06-07 20:10:10,Jefferies,Buy,,main,Raises,128.0,120.0
2013-06-10 11:34:59,Jefferies,Buy,,main,Raises,128.0,120.0
2013-07-01 10:44:31,Morgan Stanley,Equal-Weight,Overweight,down,Maintains,112.0,0.0
2013-07-26 11:48:31,Nomura,Neutral,,main,Raises,120.0,105.0
2013-08-05 11:39:02,Deutsche Bank,Hold,,main,Raises,125.0,114.0
2013-10-25 11:50:43,Nomura,Neutral,,main,Raises,128.0,120.0
2013-10-25 21:31:06,FBR Capital,Outperform,,main,Raises,160.0,142.0
2013-12-02 11:33:37,Morgan Stanley,Underweight,Equal-weight,down,Lowers,122.0,123.0
2013-12-11 21:00:00,Nomura,Buy,Neutral,up,Raises,150.0,128.0
2013-12-18 11:36:00,B of A Securities,Buy,,main,Raises,150.0,141.0
2013-12-18 12:22:21,Citigroup,Neutral,,main,Raises,133.0,122.0
