date,eps_est,eps,surprise_pct
2001-10-22 08:00:00,0.55,0.55,0.41
2002-01-23 08:00:00,0.49,0.49,0.75
2002-04-22 07:00:00,0.6,0.62,3.13
2002-07-22 07:00:00,0.66,0.68,2.37
2002-10-21 07:00:00,0.69,0.69,0.26
2003-01-21 07:00:00,0.64,0.65,0.78
2003-04-21 07:00:00,0.7,0.71,1.43
2003-07-21 07:00:00,0.75,0.78,3.59
2003-10-20 07:00:00,0.79,0.83,4.67
2004-01-20 07:00:00,0.76,0.77,1.99
2004-04-19 07:00:00,0.87,0.9,3.21
2004-07-19 07:00:00,0.96,0.97,0.87
2004-10-18 07:00:00,0.98,0.97,-0.71
2005-01-18 07:00:00,0.91,0.91,0.51
2005-04-18 07:00:00,1.01,1.03,1.88
2005-07-18 07:00:00,1.09,1.09,0.28
2005-10-18 07:00:00,1.08,1.12,4.09
2006-01-24 07:00:00,1.04,1.04,0.1
2006-04-21 07:00:00,1.16,1.17,1.04
2006-07-25 07:00:00,1.07,1.05,-2.05
2006-10-20 07:00:00,1.13,1.17,3.96
2007-01-30 06:00:00,1.14,1.1,-3.64
2007-04-26 07:00:00,1.12,1.28,14.7
2007-07-26 07:00:00,1.18,1.23,4.46
2007-10-19 07:00:00,1.27,1.29,1.26
2008-01-29 07:00:00,1.17,1.19,2.15
2008-04-24 07:00:00,1.35,1.38,2.51
2008-07-24 07:00:00,1.35,1.39,2.73
2008-10-21 07:00:00,1.38,1.42,2.71
2009-01-29 07:00:00,0.93,0.97,3.85
2009-04-24 07:00:00,0.86,0.81,-5.32
2009-07-23 07:00:00,0.94,1.2,27.26
2009-10-22 07:00:00,1.17,1.37,17.41
2010-01-28 07:00:00,1.2,1.3,8.18
2010-04-27 06:00:00,1.19,1.4,17.56
2010-07-22 07:00:00,1.48,1.54,3.88
2010-10-28 07:00:00,1.51,1.53,1.01
2011-01-25 07:00:00,1.28,1.28,0.21
2011-04-26 07:00:00,1.44,1.49,3.79
2011-07-26 07:00:00,1.59,1.6,0.42
2011-10-25 07:00:00,1.61,1.52,-5.46
2012-01-26 07:00:00,1.31,1.35,3.14
2012-04-24 07:00:00,1.48,1.63,10.12
2012-07-26 07:00:00,1.65,1.66,0.52
2012-10-23 07:00:00,1.65,1.65,-0.09
2013-01-24 07:00:00,1.41,1.41,-0.14
2013-04-25 07:00:00,1.65,1.61,-2.68
2013-07-25 07:00:00,1.71,1.71,0.18
2013-10-24 07:00:00,1.75,1.78,1.51
2014-01-30 07:00:00,1.62,1.62,0.28
2014-04-24 07:00:00,1.8,1.79,-0.28
2014-07-24 07:00:00,1.91,1.91,0.11
2014-10-23 07:00:00,1.96,1.98,0.94
2015-01-27 07:00:00,1.8,1.81,0.71
2015-04-23 07:00:00,1.93,1.85,-4.21
2015-07-23 07:00:00,1.99,2.02,1.26
2015-10-22 07:00:00,2.01,2.05,2.18
2016-01-26 07:00:00,1.62,1.66,2.19
2016-04-26 07:00:00,1.92,2.05,6.54
2016-07-26 07:00:00,2.07,2.08,0.56
2016-10-25 07:00:00,2.14,2.15,0.36
2017-01-24 07:00:00,1.87,1.88,0.43
2017-04-25 07:00:00,2.06,2.16,4.65
2017-07-25 07:00:00,2.59,2.58,-0.39
2017-10-24 07:00:00,2.21,2.33,5.37
2018-01-25 07:00:00,2.03,2.1,3.4
2018-04-24 07:00:00,2.48,2.5,0.63
2018-07-24 07:00:00,2.6,2.59,-0.46
2018-10-23 07:00:00,2.7,2.58,-4.52
2019-01-29 06:00:00,2.28,2.31,1.46
2019-04-25 06:00:00,2.5,2.23,-10.83
2019-07-25 06:00:00,2.07,2.13,2.81
2019-10-24 06:00:00,2.5,2.58,3.28
2020-01-28 06:00:00,2.1,1.95,-7.23
2020-04-28 07:00:00,2.01,2.16,7.31
2020-07-28 06:00:00,1.8,1.78,-1.06
2020-10-27 06:00:00,2.27,2.43,7.2
2021-01-26 06:00:00,2.17,2.38,9.79
2021-04-27 06:00:00,2.29,2.77,20.79
2021-07-27 06:00:00,2.28,2.59,13.77
2021-10-26 06:00:00,2.21,2.45,10.94
2022-01-25 06:00:00,2.02,2.31,14.6
2022-04-26 13:00:00,2.32,2.65,14.43
2022-07-26 06:00:00,2.44,2.48,1.65
2022-10-25 06:00:00,2.59,2.69,3.83
2023-01-24 06:00:00,2.37,2.28,-3.81
2023-04-25 06:00:00,1.6,1.97,23.44
2023-07-25 06:00:00,1.76,2.17,23.34
2023-10-24 06:00:00,2.35,2.68,14.23
2024-01-23 06:00:00,2.31,2.42,4.61
2024-04-30 06:00:00,2.11,2.39,13.15
2024-07-26 06:00:00,1.68,1.93,14.92
2024-10-22 06:00:00,1.9,1.98,4.13
2025-01-21 06:00:00,1.54,1.68,9.32
2025-04-22 06:00:00,1.77,1.88,6.42
2025-07-18 06:00:00,2.01,2.16,7.37
2025-10-21 06:00:00,2.07,2.19,5.6
2026-01-20 06:00:00,1.8,1.83,1.79
2026-04-21 06:00:00,1.98,2.14,7.88
