date,eps_est,eps,surprise_pct
2001-10-18 16:00:00,0.2,0.22,9.06
2002-01-17 16:00:00,0.22,0.25,13.73
2002-04-18 16:00:00,0.25,0.25,-2.94
2002-07-18 16:00:00,0.21,0.21,
2002-10-17 16:00:00,0.21,0.28,31.67
2003-01-16 16:00:00,0.23,0.27,16.26
2003-04-15 16:00:00,0.23,0.26,12.08
2003-07-17 16:00:00,0.23,0.23,-1.66
2003-10-23 16:00:00,0.29,0.3,4.72
2004-01-22 16:00:00,0.3,0.34,13.41
2004-04-22 16:00:00,0.29,0.34,18.86
2004-07-22 16:00:00,0.28,0.28,-1.36
2004-10-21 16:00:00,0.3,0.31,2.55
2005-01-27 16:00:00,0.33,0.35,6.42
2005-04-28 16:00:00,0.32,0.32,0.82
2005-07-21 16:00:00,0.31,0.33,7.22
2005-10-27 16:00:00,0.34,0.34,1.23
2006-01-26 16:00:00,0.36,0.36,-0.44
2006-04-27 16:00:00,0.33,0.32,-3.03
2006-07-20 16:00:00,0.3,0.31,3.1
2006-10-26 16:00:00,0.31,0.35,12.9
2007-01-25 16:00:00,0.24,0.26,9.86
2007-04-26 16:00:00,0.46,0.5,9.18
2007-07-19 16:00:00,0.34,0.31,-8.42
2007-10-25 16:00:00,0.39,0.45,15.69
2008-01-24 16:00:00,0.46,0.5,8.84
2008-04-24 16:00:00,0.44,0.47,6.44
2008-07-17 16:00:00,0.47,0.46,-2.71
2008-10-23 16:00:00,0.47,0.48,1.94
2009-01-22 09:00:00,0.49,0.47,-4.68
2009-04-23 16:00:00,0.39,0.39,0.34
2009-07-23 16:00:00,0.36,0.36,-1.13
2009-10-23 08:00:00,0.32,0.4,24.85
2010-01-28 16:00:00,0.59,0.74,25.26
2010-04-22 15:00:00,0.42,0.45,6.15
2010-07-22 16:00:00,0.46,0.51,9.87
2010-10-28 16:00:00,0.55,0.62,13.02
2011-01-27 19:00:00,0.68,0.77,12.95
2011-04-28 16:00:00,0.56,0.61,9.61
2011-07-21 16:00:00,0.58,0.69,19.41
2011-10-20 16:00:00,0.68,0.68,0.28
2012-01-19 16:00:00,0.76,0.78,3.15
2012-04-19 16:00:00,0.58,0.6,2.86
2012-07-19 16:00:00,0.62,0.73,18.08
2012-10-18 16:00:00,0.56,0.53,-5.69
2013-01-24 16:00:00,0.76,0.76,0.53
2013-04-18 16:00:00,0.67,0.72,7.91
2013-07-18 16:00:00,0.74,0.66,-11.37
2013-10-24 16:00:00,0.54,0.62,13.99
2014-01-23 16:00:00,0.68,0.78,14.36
2014-04-24 16:00:00,0.63,0.68,8.17
2014-07-22 16:00:00,0.6,0.55,-8.35
2014-10-23 16:00:00,0.54,0.65,19.92
2015-01-26 16:00:00,0.74,0.77,4.1
2015-04-23 16:00:00,0.53,0.62,17.33
2015-07-21 16:00:00,0.57,0.62,9.23
2015-10-22 16:00:00,0.59,0.67,14.49
2016-01-28 16:00:00,0.71,0.78,10.04
2016-04-21 16:00:00,0.64,0.62,-2.95
2016-07-19 16:00:00,0.58,0.69,18.18
2016-10-20 16:00:00,0.68,0.76,11.39
2017-01-26 16:00:00,0.79,0.84,6.98
2017-04-27 16:00:00,0.7,0.73,4.67
2017-07-20 16:00:00,0.71,0.98,38.72
2017-10-26 16:00:00,0.73,0.84,15.42
2018-01-31 16:00:00,0.87,0.96,10.93
2018-04-26 16:00:00,0.85,0.95,11.74
2018-07-19 16:00:00,1.08,1.13,4.84
2018-10-24 16:00:00,0.97,1.14,18.12
2019-01-30 16:00:00,1.09,1.1,0.82
2019-04-24 16:00:00,1.0,1.14,14.17
2019-07-18 16:00:00,1.21,1.37,12.88
2019-10-23 16:00:00,1.24,1.38,10.98
2020-01-29 16:00:00,1.32,1.51,13.96
2020-04-29 16:00:00,1.27,1.4,10.34
2020-07-22 16:00:00,1.37,1.46,6.42
2020-10-27 16:00:00,1.55,1.82,17.72
2021-01-26 16:00:00,1.64,2.03,23.99
2021-04-27 16:00:00,1.78,1.95,9.67
2021-07-27 16:00:00,1.93,2.17,12.71
2021-10-26 16:00:00,2.08,2.27,9.3
2022-01-25 16:00:00,2.32,2.48,6.97
2022-04-26 16:00:00,2.2,2.22,1.06
2022-07-26 16:00:00,2.29,2.23,-2.69
2022-10-25 16:00:00,2.31,2.35,1.92
2023-01-24 16:00:00,2.32,2.32,0.21
2023-04-25 16:00:00,2.23,2.45,9.77
2023-07-25 16:00:00,2.55,2.69,5.59
2023-10-24 16:00:00,2.65,2.99,12.85
2024-01-30 16:00:00,2.77,2.93,5.83
2024-04-25 16:00:00,2.84,2.94,3.4
2024-07-30 16:00:00,2.94,2.95,0.23
2024-10-30 16:00:00,3.11,3.3,6.13
2025-01-29 16:00:00,3.12,3.23,3.47
2025-04-30 16:00:00,3.22,3.46,7.4
2025-07-30 16:00:00,3.38,3.65,8.09
2025-10-29 16:00:00,3.66,4.13,12.73
2026-01-28 16:00:00,3.92,4.14,5.69
2026-04-29 16:00:00,4.06,4.27,5.22
