date,eps_est,eps,surprise_pct
2006-11-09 16:00:00,,0.01,5.08
2007-02-13 16:00:00,0.01,0.01,1.39
2007-05-10 16:00:00,0.01,0.01,1.85
2007-08-09 16:00:00,0.01,0.01,20.1
2007-11-08 16:00:00,0.01,0.01,15.01
2008-02-13 17:00:00,0.01,0.01,3.56
2008-05-08 16:00:00,0.01,0.01,-9.42
2008-11-06 16:00:00,,0.01,73.61
2010-02-17 16:00:00,,0.01,30.26
2010-05-13 16:00:00,0.01,0.01,3.98
2011-02-16 16:00:00,0.01,0.01,5.7
2011-05-12 16:00:00,,0.01,37.47
2011-08-11 16:00:00,0.01,0.01,12.04
2011-11-10 16:00:00,0.01,0.01,11.04
2012-02-15 16:00:00,0.01,0.01,9.61
2012-08-09 16:00:00,0.01,0.01,23.18
2012-11-08 16:00:00,0.01,0.01,9.18
2013-02-13 16:00:00,0.01,0.01,17.61
2013-08-08 16:00:00,,0.01,22.34
2013-11-07 16:00:00,0.01,0.01,1.25
2014-02-12 16:00:00,0.01,0.01,32.45
2014-05-08 16:00:00,0.01,0.01,27.87
2014-08-07 16:00:00,0.01,0.01,21.16
2014-11-06 16:00:00,0.01,0.01,10.05
2015-02-11 16:00:00,0.01,0.01,18.52
2015-05-07 16:00:00,0.01,0.01,
2015-08-06 16:00:00,0.01,0.01,66.67
2015-11-05 16:00:00,0.01,0.01,30.68
2016-02-17 16:00:00,0.01,0.01,19.38
2016-05-12 21:00:00,0.01,0.01,12.97
2016-08-11 16:00:00,0.01,0.01,10.97
2016-11-10 16:00:00,0.02,0.02,37.75
2017-02-09 16:00:00,0.02,0.03,15.49
2017-05-09 16:00:00,0.02,0.02,4.53
2017-08-10 16:00:00,0.02,0.03,23.84
2017-11-09 16:00:00,0.03,0.03,23.84
2018-02-08 16:00:00,0.03,0.04,29.95
2018-05-10 16:00:00,0.04,0.05,23.49
2018-08-16 16:00:00,0.05,0.05,5.09
2018-11-15 16:00:00,0.05,0.05,-4.09
2019-02-14 16:00:00,0.02,0.02,6.5
2019-05-16 16:00:00,0.02,0.02,8.75
2019-08-15 16:00:00,0.03,0.03,8.24
2019-11-14 16:00:00,0.04,0.04,13.17
2020-02-13 16:00:00,0.04,0.05,12.88
2020-05-21 16:00:00,0.04,0.05,6.86
2020-08-19 16:00:00,0.05,0.05,10.66
2020-11-18 16:00:00,0.06,0.07,14.21
2021-02-24 16:00:00,0.07,0.08,10.37
2021-05-26 16:00:00,0.08,0.09,11.44
2021-08-18 16:00:00,0.1,0.1,2.26
2021-11-17 16:00:00,0.11,0.12,5.81
2022-02-16 16:00:00,0.12,0.13,7.97
2022-05-25 16:00:00,0.13,0.14,4.86
2022-08-24 16:00:00,0.05,0.05,-1.49
2022-11-16 16:00:00,0.07,0.06,-17.32
2023-02-22 16:00:00,0.08,0.09,9.45
2023-05-24 16:00:00,0.09,0.11,18.8
2023-08-23 16:00:00,0.21,0.27,29.35
2023-11-21 16:00:00,0.34,0.4,18.73
2024-02-21 16:00:00,0.46,0.52,11.4
2024-05-22 16:00:00,0.56,0.61,9.74
2024-08-28 16:00:00,0.64,0.68,5.66
2024-11-20 16:00:00,0.75,0.81,8.52
2025-02-26 16:00:00,0.85,0.89,5.25
2025-05-28 16:00:00,0.75,0.81,8.02
2025-08-27 16:00:00,1.01,1.05,4.1
2025-11-19 16:00:00,1.26,1.3,3.46
2026-02-25 16:00:00,1.54,1.62,5.32
2026-05-20 16:00:00,1.77,1.87,5.54
