gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-02-28 13:38:00,B of A Securities,Buy,Neutral,up,Raises,75.0,69.0
2012-04-27 18:48:00,B of A Securities,Buy,,main,Lowers,72.0,75.0
2012-04-30 18:57:00,Hilliard Lyons,Long-Term Buy,,main,Raises,77.0,75.0
2012-05-01 13:06:00,BMO Capital,Outperform,,main,Lowers,74.0,78.0
2012-06-26 14:33:00,Hilliard Lyons,Neutral,Long-Term Buy,down,Removes,0.0,0.0
2012-06-27 11:47:00,Deutsche Bank,Buy,,main,Lowers,67.0,70.0
2012-08-03 19:02:00,Citigroup,Buy,,main,Raises,75.0,70.0
2012-08-06 10:06:00,Deutsche Bank,Buy,,main,Raises,70.0,67.0
2012-08-06 11:24:00,B of A Securities,Buy,,main,Raises,71.0,67.0
2012-10-25 19:49:00,Citigroup,Buy,,main,Raises,80.0,75.0
2012-10-26 12:05:00,Deutsche Bank,Buy,,main,Raises,75.0,70.0
2012-10-26 12:19:00,BMO Capital,Outperform,,main,Raises,81.0,76.0
2012-10-26 14:01:00,CLSA,Outperform,Underperform,up,,0.0,0.0
2013-01-24 12:22:13,Credit Suisse,Neutral,,init,Announces,74.0,0.0
2013-01-25 20:43:34,Citigroup,Buy,,main,Raises,83.0,80.0
2013-01-28 14:05:38,B. Riley Securities,Buy,Neutral,up,Raises,0.0,0.0
2013-01-28 16:03:12,Goldman Sachs,Neutral,,main,Raises,76.0,74.0
2013-01-28 16:09:09,JP Morgan,Overweight,,main,Raises,80.0,72.0
2013-02-14 11:09:47,Canaccord Genuity,Buy,,init,Announces,87.0,0.0
2013-02-25 20:47:17,Tigress Financial,Neutral,,init,,0.0,0.0
2013-03-11 14:04:49,UBS,Neutral,,main,Raises,75.0,66.0
2013-03-12 10:56:42,Credit Suisse,Neutral,,main,Raises,75.0,74.0
2013-04-15 12:18:52,Deutsche Bank,Buy,,main,Raises,87.0,80.0
2013-04-25 14:46:28,SunTrust Robinson Humphrey,Buy,Neutral,up,Raises,88.0,80.0
2013-04-25 16:31:56,B. Riley Securities,Neutral,Buy,down,Lowers,0.0,0.0
2013-05-24 11:47:34,UBS,Buy,Neutral,up,Announces,95.0,0.0
2013-05-24 13:29:22,Oracle Investment Research,Hold,Sell,up,,0.0,0.0
2013-05-24 19:27:16,Standpoint Research,Sell,Hold,down,,0.0,0.0
2013-08-02 11:58:01,Deutsche Bank,Buy,,main,Raises,90.0,87.0
2013-09-11 12:26:36,SunTrust Robinson Humphrey,Neutral,Buy,down,Lowers,80.0,88.0
2013-09-11 12:42:01,Exane BNP Paribas,Underperform,,init,Announces,74.0,0.0
2013-09-18 11:00:00,Barclays,Equal-Weight,Overweight,down,Lowers,83.0,87.0
2013-10-07 20:00:00,Wells Fargo,Outperform,Market Perform,up,,0.0,0.0
2014-01-30 13:00:00,Societe Generale,Buy,,init,,0.0,0.0
2014-01-31 16:34:19,Standpoint Research,Hold,Sell,up,,0.0,0.0
2014-03-04 13:00:00,UBS,Neutral,,init,,81.0,0.0
2014-04-24 05:28:11,Citigroup,Buy,,main,Lowers,92.0,94.0
2014-04-24 07:20:31,UBS,Neutral,,main,Raises,84.0,81.0
2014-05-01 02:54:30,B. Riley Securities,Neutral,,main,Lowers,0.0,0.0
2014-07-11 11:29:57,Wells Fargo,Market Perform,Outperform,down,,0.0,0.0
2014-08-04 23:35:37,Citigroup,Buy,,main,Raises,94.0,92.0
2014-10-31 13:00:00,Citigroup,Buy,,main,Raises,97.0,94.0
2014-11-14 09:36:07,Credit Suisse,Neutral,,main,Raises,90.0,85.0
2014-11-17 11:44:39,Canaccord Genuity,Hold,Buy,down,,0.0,0.0
2014-12-04 09:26:47,Credit Suisse,Outperform,Neutral,up,Raises,105.0,90.0
2014-12-12 09:08:58,B of A Securities,Buy,,main,Raises,95.0,93.0
2014-12-17 14:00:00,Citigroup,Buy,,main,Raises,102.0,97.0
2014-12-30 05:00:00,BTIG,Neutral,,down,,0.0,0.0
2015-04-10 13:00:00,JP Morgan,Overweight,,main,Lowers,92.0,95.0
2015-04-24 13:00:00,Citigroup,Buy,,main,Lowers,95.0,100.0
2015-04-27 11:47:50,CLSA,Underperform,Outperform,down,,0.0,0.0
2015-04-29 10:20:44,Societe Generale,Hold,Buy,down,Lowers,86.0,96.0
2015-05-12 13:00:00,UBS,Neutral,,main,Lowers,86.0,87.0
2015-06-04 13:01:48,Hilliard Lyons,Long-Term Buy,Neutral,up,,0.0,0.0
2015-09-08 11:55:50,SunTrust Robinson Humphrey,Buy,Neutral,up,,0.0,0.0
2015-09-17 08:27:06,Barclays,Equal-Weight,,main,Lowers,75.0,84.0
2016-01-06 12:48:05,Atlantic Equities,Neutral,,init,Announces,84.0,0.0
2016-01-19 11:41:14,Stifel,Buy,Hold,up,,0.0,0.0
2016-01-27 17:43:41,B. Riley Securities,Neutral,,main,Lowers,0.0,0.0
2016-02-03 13:50:18,GMP Securities,Hold,,init,Announces,1.0,0.0
2016-02-16 11:48:20,Sterne Agee,Buy,Neutral,up,,0.0,0.0
2016-03-21 09:52:42,Barclays,Equal-Weight,,main,Raises,82.0,79.0
2016-03-30 10:30:27,B. Riley Securities,Neutral,,main,Lowers,0.0,0.0
2016-06-15 10:45:38,Jefferies,Buy,,init,Announces,95.0,0.0
2016-07-14 10:10:58,UBS,Buy,Neutral,up,Raises,96.0,85.0
2016-07-20 10:18:37,Deutsche Bank,Buy,,main,Raises,92.0,85.0
2016-08-03 13:09:11,Stifel,Buy,,main,Raises,93.0,92.0
2016-08-03 17:57:59,Deutsche Bank,Buy,,main,Raises,95.0,92.0
2016-08-04 16:41:54,Citigroup,Buy,,main,Raises,98.0,92.0
2016-08-15 10:28:38,B. Riley Securities,Buy,Neutral,up,,0.0,0.0
2016-08-26 12:34:30,Johnson Rice,Buy,Accumulate,up,,0.0,0.0
