date,eps_est,eps,surprise_pct
2001-10-30 07:00:00,0.47,0.48,3.15
2002-01-31 07:00:00,0.51,0.52,0.77
2002-04-30 07:00:00,0.41,0.42,1.41
2002-08-05 07:00:00,0.37,0.39,3.41
2002-10-29 07:00:00,0.55,0.56,1.57
2003-01-28 07:00:00,0.56,0.56,1.29
2003-04-28 07:00:00,0.48,0.48,0.23
2003-07-31 07:00:00,0.43,0.44,1.18
2003-10-27 07:00:00,0.63,0.63,0.65
2004-01-28 07:00:00,0.64,0.65,1.03
2004-04-30 07:00:00,0.54,0.55,1.24
2004-08-02 07:00:00,0.49,0.5,3.09
2004-10-27 07:00:00,0.72,0.73,1.48
2005-01-27 16:00:00,0.72,0.74,2.69
2005-04-28 07:00:00,0.61,0.63,2.59
2005-08-01 07:00:00,0.55,0.56,1.06
2005-11-01 07:00:00,0.76,0.77,1.9
2006-01-27 07:00:00,0.69,0.72,5.01
2006-05-03 07:00:00,0.61,0.62,2.06
2006-08-02 07:00:00,0.54,0.55,1.97
2006-10-31 07:00:00,0.78,0.79,1.43
2007-01-30 07:00:00,0.84,0.84,0.52
2007-05-01 07:00:00,0.74,0.74,-0.17
2007-08-03 07:00:00,0.66,0.67,1.25
2007-10-30 07:00:00,0.9,0.9,0.56
2008-01-31 07:00:00,0.97,0.98,1.4
2008-04-30 07:00:00,0.81,0.82,1.53
2008-08-05 07:00:00,0.78,0.8,2.81
2008-10-29 07:00:00,1.03,1.03,0.32
2009-01-30 07:00:00,0.99,0.94,-5.21
2009-04-30 07:00:00,0.8,0.84,5.12
2009-08-05 07:00:00,0.78,0.8,2.68
2009-10-29 06:00:00,0.99,0.97,-1.6
2010-01-28 07:00:00,1.43,1.49,4.54
2010-04-29 07:00:00,0.82,0.89,9.01
2010-08-03 06:00:00,0.73,0.71,-2.88
2010-10-27 07:00:00,1.0,1.02,2.38
2011-01-27 07:00:00,1.1,1.13,2.99
2011-04-28 07:00:00,0.97,0.96,-0.85
2011-08-05 07:00:00,0.82,0.84,2.13
2011-10-27 07:00:00,1.03,1.03,0.41
2012-01-27 07:00:00,1.08,1.1,1.7
2012-04-27 07:00:00,0.93,0.94,1.0
2012-08-03 07:00:00,0.77,0.82,6.33
2012-10-25 06:00:00,0.96,1.06,10.52
2013-01-25 07:00:00,1.11,1.22,9.61
2013-04-24 07:00:00,0.96,0.99,3.19
2013-08-01 07:00:00,0.77,0.79,2.31
2013-10-25 07:00:00,1.05,1.05,-0.23
2014-01-24 07:00:00,1.2,1.21,0.96
2014-04-23 07:00:00,1.02,1.04,2.46
2014-08-01 07:00:00,0.91,0.95,4.15
2014-10-24 07:00:00,1.07,1.07,-0.24
2015-01-27 07:00:00,1.13,1.06,-5.91
2015-04-23 06:00:00,0.92,0.92,-0.44
2015-07-30 07:00:00,0.95,1.0,5.76
2015-10-23 07:00:00,0.94,0.98,3.89
2016-01-26 07:00:00,0.97,1.04,6.8
2016-04-26 07:00:00,0.82,0.86,5.12
2016-08-02 07:00:00,0.74,0.79,6.05
2016-10-25 07:00:00,0.98,1.03,5.42
2017-01-20 07:00:00,1.06,1.08,1.77
2017-04-26 07:00:00,0.94,0.96,2.33
2017-07-27 07:00:00,0.78,0.85,8.63
2017-10-20 07:00:00,1.08,1.09,1.21
2018-01-23 07:00:00,1.14,1.19,4.26
2018-04-19 07:00:00,0.98,1.0,1.68
2018-07-31 07:00:00,0.9,0.94,4.52
2018-10-19 07:00:00,1.09,1.12,2.57
2019-01-23 07:00:00,1.21,1.25,3.42
2019-04-23 07:00:00,1.04,1.06,2.13
2019-07-30 06:00:00,1.05,1.1,4.64
2019-10-22 06:00:00,1.24,1.37,10.33
2020-01-23 07:00:00,1.37,1.42,3.59
2020-04-17 08:00:00,1.13,1.17,3.54
2020-07-30 07:00:00,1.01,1.16,14.38
2020-10-20 07:00:00,1.42,1.63,14.89
2021-01-20 07:00:00,1.51,1.64,8.8
2021-04-20 07:00:00,1.19,1.26,6.1
2021-07-30 06:00:00,1.09,1.13,4.13
2021-10-19 07:00:00,1.59,1.61,1.2
2022-01-19 06:00:00,1.65,1.66,0.41
2022-04-20 06:00:00,1.29,1.33,2.88
2022-07-29 06:00:00,1.23,1.21,-1.43
2022-10-19 07:00:00,1.55,1.57,1.41
2023-01-19 07:00:00,1.59,1.59,-0.01
2023-04-21 06:00:00,1.32,1.37,3.46
2023-07-28 06:00:00,1.32,1.37,3.48
2023-10-18 06:00:00,1.72,1.83,6.34
2024-01-23 06:00:00,1.7,1.84,8.28
2024-04-19 06:00:00,1.41,1.52,7.48
2024-07-30 07:00:00,1.37,1.4,1.92
2024-10-18 06:00:00,1.9,1.93,1.75
2025-01-22 07:00:00,1.86,1.88,1.1
2025-04-24 07:00:00,1.53,1.54,0.93
2025-07-29 07:00:00,1.42,1.48,4.14
2025-10-24 07:00:00,1.9,1.99,4.92
2026-01-22 07:00:00,1.86,1.88,1.25
2026-04-24 07:00:00,1.56,1.59,2.22
