gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2019-02-11 11:39:18,Canaccord Genuity,Buy,Hold,up,,0.0,0.0
2019-03-05 13:52:52,Barclays,Underweight,Underweight,main,Lowers,192.0,210.0
2019-03-12 13:57:28,Morgan Stanley,Equal-Weight,Equal-Weight,main,Lowers,260.0,283.0
2019-03-25 13:17:20,RBC Capital,Underperform,,reit,Lowers,210.0,245.0
2019-04-04 14:20:21,Wedbush,Outperform,Outperform,main,Lowers,365.0,390.0
2019-04-04 14:26:21,JMP Securities,Market Outperform,Market Outperform,main,Lowers,374.0,394.0
2019-04-04 14:30:52,Canaccord Genuity,Buy,Buy,main,Lowers,391.0,450.0
2019-04-08 14:47:14,Morgan Stanley,Equal-Weight,Equal-Weight,main,Lowers,240.0,260.0
2019-04-10 10:41:44,Nomura,Neutral,,init,Announces,300.0,0.0
2019-04-22 12:11:35,Evercore ISI Group,Underperform,In-Line,down,,0.0,0.0
2019-04-25 11:47:04,Wedbush,Neutral,Outperform,down,Lowers,275.0,365.0
2019-04-25 12:41:43,Canaccord Genuity,Buy,Buy,main,Raises,394.0,391.0
2019-04-25 15:18:41,JMP Securities,Market Outperform,Market Outperform,main,Lowers,369.0,374.0
2019-05-02 11:14:12,Wolfe Research,Peer Perform,Outperform,down,,0.0,0.0
2019-05-06 15:59:45,RBC Capital,Underperform,Underperform,main,Lowers,190.0,200.0
2019-05-21 12:08:14,Baird,Outperform,,main,Lowers,340.0,400.0
2019-05-22 11:43:30,Citigroup,Sell,,main,Lowers,38.2,47.6
2019-05-30 12:59:27,Barclays,Underweight,,main,Lowers,150.0,192.0
2019-06-10 12:44:20,Roth Capital,Buy,Neutral,up,Announces,238.0,0.0
2019-06-20 11:29:30,Goldman Sachs,Sell,,reit,Lowers,158.0,200.0
2019-06-27 10:46:08,Credit Suisse,Underperform,,init,Announces,189.0,0.0
2019-06-28 13:32:11,UBS,Sell,,main,Lowers,160.0,200.0
2019-07-01 12:57:39,JMP Securities,Market Outperform,,reit,Announces,347.0,0.0
2019-07-22 12:17:06,Roth Capital,Neutral,Buy,down,,0.0,0.0
2019-07-25 10:56:34,Nomura,Neutral,,main,Lowers,270.0,300.0
2019-07-25 11:31:20,Canaccord Genuity,Buy,,main,Lowers,350.0,394.0
2019-07-25 11:32:38,Barclays,Underweight,,reit,Maintains,150.0,0.0
2019-09-26 13:15:21,China Renaissance,Buy,,init,Announces,324.0,0.0
2019-10-03 11:32:14,JMP Securities,Market Perform,Market Outperform,down,,0.0,0.0
2019-10-24 10:43:47,JP Morgan,Underweight,,main,Raises,220.0,200.0
2019-10-24 11:05:00,Nomura,Neutral,,main,Raises,60.0,54.0
2019-10-24 11:15:10,Credit Suisse,Underperform,,main,Raises,200.0,189.0
2019-10-24 11:35:39,Wedbush,Neutral,,main,Raises,270.0,220.0
2019-10-24 12:06:14,B of A Securities,Underperform,,reit,Raises,235.0,225.0
2019-10-24 12:48:50,RBC Capital,Underperform,,main,Raises,220.0,190.0
2019-10-24 14:58:02,Canaccord Genuity,Buy,,main,Raises,375.0,350.0
2019-10-25 12:00:30,Barclays,Underweight,,main,Raises,40.0,30.0
2019-10-29 13:29:32,Roth Capital,Sell,Neutral,down,,0.0,0.0
2019-10-31 11:44:01,Morgan Stanley,Equal-Weight,,main,Raises,250.0,230.0
2019-11-11 13:52:36,Jefferies,Buy,,main,Raises,400.0,300.0
2019-11-18 14:48:31,Deutsche Bank,Hold,,main,Raises,290.0,260.0
2019-11-26 11:21:29,China Renaissance,Hold,Buy,down,Announces,69.2,0.0
2019-12-03 11:48:14,Piper Sandler,Overweight,,main,Raises,84.6,74.4
2019-12-04 12:04:03,Citigroup,Sell,,main,Raises,222.0,191.0
2019-12-06 13:04:03,Morgan Stanley,Equal-Weight,,main,Maintains,250.0,0.0
2019-12-10 17:02:45,Exane BNP Paribas,Buy,,main,Raises,400.0,300.0
2019-12-26 12:02:34,Wedbush,Neutral,,main,Raises,370.0,270.0
2019-12-30 11:22:36,Cowen & Co.,Underperform,,main,Raises,210.0,190.0
2020-01-02 12:40:15,Canaccord Genuity,Buy,,main,Raises,515.0,375.0
2020-01-06 15:23:47,RBC Capital,Underperform,,main,Raises,315.0,290.0
2020-01-07 12:45:41,Argus Research,Buy,Buy,main,Announces,556.0,0.0
2020-01-09 11:47:01,Baird,Neutral,Outperform,down,Raises,525.0,355.0
2020-01-09 13:32:27,CFRA,Sell,Hold,down,Announces,80.0,0.0
2020-01-10 13:17:56,Piper Sandler,Overweight,,main,Raises,553.0,423.0
2020-01-13 12:28:09,Oppenheimer,Outperform,,main,Raises,612.0,385.0
2020-01-14 13:36:36,Jefferies,Buy,,main,Raises,600.0,400.0
2020-01-16 11:33:12,Morgan Stanley,Underweight,Equal-Weight,down,Raises,360.0,250.0
2020-01-21 14:10:38,New Street Research,Buy,,main,Raises,800.0,530.0
2020-01-22 12:36:25,Wedbush,Neutral,,main,Raises,550.0,370.0
2020-01-23 12:03:37,Exane BNP Paribas,Neutral,Outperform,down,Announces,111.0,0.0
2020-01-29 12:03:24,B of A Securities,Underperform,,main,Raises,350.0,240.0
2020-01-30 11:24:45,Piper Sandler,Overweight,,main,Raises,729.0,553.0
2020-01-30 11:39:03,Deutsche Bank,Hold,,main,Raises,102.0,91.0
2020-01-30 12:10:19,Baird,Neutral,,main,Raises,130.0,105.0
2020-01-30 12:11:41,RBC Capital,Underperform,,main,Raises,530.0,315.0
2020-01-30 13:12:27,Roth Capital,Sell,,main,Raises,350.0,250.0
