gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-03-19 13:40:00,B of A Securities,Buy,,main,Raises,63.0,61.0
2012-04-05 10:53:00,B of A Securities,Buy,,main,Raises,69.0,63.0
2012-04-09 10:24:00,Wedbush,Outperform,,main,Lowers,60.0,66.0
2012-04-20 10:15:00,Deutsche Bank,Buy,,main,Raises,71.0,68.0
2012-04-20 11:12:00,B of A Securities,Buy,,main,Raises,71.0,69.0
2012-10-09 10:34:00,Deutsche Bank,Buy,,main,Raises,73.0,71.0
2012-10-10 13:11:00,Goldman Sachs,Neutral,,main,Raises,62.0,60.0
2013-01-03 13:19:54,Deutsche Bank,Hold,Buy,down,Lowers,61.0,73.0
2013-02-21 11:38:12,Oppenheimer,Outperform,Perform,up,Raises,66.0,63.0
2013-04-01 14:47:41,Standpoint Research,Buy,Hold,up,,0.0,0.0
2013-04-02 11:26:14,Jefferies,Buy,,main,Raises,71.0,67.0
2013-04-02 11:45:49,Deutsche Bank,Hold,,main,Raises,63.0,61.0
2013-04-02 13:14:59,Raymond James,Strong Buy,Outperform,up,,0.0,0.0
2013-04-05 13:42:30,UBS,Buy,,init,Announces,72.0,0.0
2013-04-09 10:47:03,Credit Suisse,Outperform,,main,Raises,71.0,60.0
2013-04-19 12:17:30,Deutsche Bank,Hold,,main,Lowers,60.0,63.0
2013-06-17 18:17:40,Standpoint Research,Hold,Buy,down,,0.0,0.0
2013-07-10 11:29:38,Jefferies,Buy,,main,Raises,78.0,71.0
2013-07-16 12:54:44,Deutsche Bank,Hold,,main,Raises,66.0,63.0
2013-07-16 13:03:32,"Monness, Crespi, Hardt",Buy,,main,Raises,75.0,68.0
2013-07-22 13:36:40,BMO Capital,Outperform,,main,Raises,79.0,70.0
2013-10-08 11:59:46,Deutsche Bank,Hold,,main,Raises,71.0,68.0
2013-10-14 11:54:17,"Monness, Crespi, Hardt",Buy,,main,Raises,77.0,75.0
2013-10-18 11:32:41,Cantor Fitzgerald,Hold,Buy,down,,0.0,0.0
2013-11-05 13:07:22,"Monness, Crespi, Hardt",Neutral,Buy,down,,0.0,0.0
2013-11-13 11:44:01,FBR Capital,Outperform,,init,,0.0,0.0
2013-11-19 15:11:16,Leerink Swann,Market Perform,,init,,77.0,0.0
2013-11-20 12:41:44,JP Morgan,Overweight,,main,Raises,84.0,80.0
2013-11-20 21:38:04,Morgan Stanley,Overweight,,init,Announces,84.0,0.0
2013-11-25 18:36:50,UBS,Buy,,main,Raises,84.0,81.0
2014-01-07 13:42:25,Deutsche Bank,Buy,Hold,up,Raises,85.0,74.0
2014-01-21 14:01:17,"Monness, Crespi, Hardt",Sell,Neutral,down,,0.0,0.0
2014-04-15 04:10:59,Cantor Fitzgerald,Hold,,main,Raises,80.0,75.0
2014-04-17 01:37:53,Citigroup,Hold,Buy,down,Raises,79.0,77.0
2014-04-21 04:24:46,Jefferies,Buy,,main,Lowers,87.0,89.0
2014-04-22 01:37:02,Deutsche Bank,Buy,,main,Lowers,85.0,90.0
2014-04-23 02:39:11,BMO Capital,Outperform,,main,Raises,85.0,0.0
2014-04-23 03:48:47,Citigroup,Neutral,,main,Lowers,77.0,79.0
2014-06-27 10:31:02,Sterne Agee,Underperform,,init,Announces,80.0,0.0
2014-07-10 10:27:34,Jefferies,Hold,Buy,down,Maintains,87.0,0.0
2014-07-17 00:56:38,Deutsche Bank,Buy,,main,Raises,92.0,88.0
2014-07-19 00:33:29,Barclays,Overweight,,main,Raises,99.0,84.0
2014-07-19 00:33:30,Credit Suisse,Outperform,,main,Raises,95.0,82.0
2014-07-19 00:51:44,Deutsche Bank,Buy,,main,Raises,95.0,92.0
2014-07-19 02:05:31,FBR Capital,Outperform,,main,Raises,95.0,85.0
2014-07-19 03:30:54,Raymond James,Strong Buy,,main,Raises,98.0,87.0
2014-10-07 21:54:50,Piper Sandler,Overweight,,init,Announces,121.0,0.0
2014-10-17 12:30:00,Barclays,Overweight,,main,Raises,101.0,99.0
2014-10-17 13:00:00,Jefferies,Hold,,main,Raises,93.0,87.0
2014-11-18 09:02:36,B of A Securities,Buy,,main,Raises,112.0,102.0
2014-12-03 05:00:00,Cantor Fitzgerald,Hold,,main,Raises,100.0,95.0
