date,eps_est,eps,surprise_pct
2001-10-26 06:00:00,0.18,0.18,1.71
2002-01-24 06:00:00,0.18,0.19,3.83
2002-04-18 06:00:00,0.21,0.23,7.98
2002-07-18 06:00:00,0.24,0.25,6.75
2002-10-17 06:00:00,0.26,0.28,7.28
2003-01-23 06:00:00,0.29,0.3,3.81
2003-04-16 06:00:00,0.31,0.32,4.87
2003-07-17 06:00:00,0.33,0.36,7.58
2003-10-16 06:00:00,0.37,0.39,4.68
2004-01-22 06:00:00,0.39,0.42,5.44
2004-04-15 06:00:00,0.43,0.44,1.62
2004-07-15 06:00:00,0.46,0.47,1.53
2004-10-14 06:00:00,0.5,0.52,3.21
2005-01-20 06:00:00,0.54,0.55,0.93
2005-04-14 06:00:00,0.56,0.58,2.83
2005-07-14 06:00:00,0.75,0.61,-18.55
2005-10-14 06:00:00,0.67,0.64,-4.12
2006-01-19 06:00:00,0.65,0.65,-0.69
2006-04-18 06:00:00,0.65,0.68,4.88
2006-07-19 06:00:00,0.68,0.7,3.02
2006-10-19 06:00:00,0.76,0.8,5.0
2007-01-18 06:00:00,0.85,0.86,1.0
2007-04-19 06:00:00,0.71,0.74,3.99
2007-07-19 06:00:00,0.81,0.87,7.34
2007-10-18 06:00:00,0.92,0.95,3.2
2008-01-22 06:00:00,0.92,0.92,-0.43
2008-04-22 06:00:00,0.8,0.78,-2.23
2008-07-22 06:00:00,0.65,0.67,3.88
2008-10-16 06:00:00,0.73,0.73,0.09
2009-01-22 06:00:00,0.78,0.78,-0.17
2009-04-21 06:00:00,0.67,0.81,20.29
2009-07-21 06:00:00,0.7,0.73,4.32
2009-10-20 06:00:00,0.76,0.89,16.78
2010-01-21 06:00:00,0.73,0.81,10.79
2010-04-20 05:00:00,0.69,1.03,50.16
2010-07-20 06:00:00,0.75,0.99,32.78
2010-10-19 06:00:00,0.83,1.14,36.61
2011-01-20 06:00:00,0.84,1.05,25.48
2011-04-21 06:00:00,0.89,1.22,36.98
2011-07-19 06:00:00,1.01,1.16,14.33
2011-10-18 06:00:00,1.12,1.17,4.53
2012-01-19 06:00:00,1.04,1.17,13.01
2012-04-19 06:00:00,1.18,1.31,11.45
2012-07-19 06:00:00,1.19,1.27,6.73
2012-10-16 06:00:00,1.36,1.5,10.61
2013-01-17 06:00:00,1.19,1.2,0.88
2013-04-18 06:00:00,1.15,1.16,1.1
2013-07-18 06:00:00,1.25,1.4,11.68
2013-10-17 06:00:00,1.53,1.53,0.16
2014-01-16 06:00:00,1.4,1.41,0.53
2014-04-17 06:00:00,1.09,1.1,1.08
2014-07-17 06:00:00,1.25,1.42,14.03
2014-10-16 06:00:00,1.52,1.63,6.94
2015-01-21 06:00:00,1.5,1.55,3.41
2015-04-16 06:00:00,1.34,1.46,8.8
2015-07-16 06:00:00,1.58,1.64,3.5
2015-10-15 05:00:00,1.64,1.65,0.35
2016-01-19 05:00:00,1.37,1.4,1.94
2016-04-19 05:00:00,1.72,1.81,4.96
2016-07-19 05:00:00,1.89,1.96,3.75
2016-10-18 05:00:00,2.08,2.17,4.33
2017-01-17 05:00:00,2.07,2.11,1.83
2017-04-18 05:00:00,2.17,2.37,9.13
2017-07-18 05:00:00,2.38,2.46,3.42
2017-10-17 05:00:00,2.57,2.66,3.62
2018-01-16 05:00:00,2.52,2.59,2.96
2018-04-17 05:00:00,2.91,3.04,4.54
2018-07-17 05:00:00,3.04,3.14,3.29
2018-10-16 05:00:00,3.3,3.41,3.47
2019-01-15 05:00:00,3.22,3.28,1.97
2019-04-16 05:00:00,3.6,3.73,3.53
2019-07-18 05:00:00,3.46,3.6,3.97
2019-10-15 05:00:00,3.76,3.88,3.14
2020-01-15 05:00:00,3.78,3.9,3.24
2020-04-15 06:00:00,3.65,3.72,1.88
2020-07-15 05:00:00,5.24,7.12,36.0
2020-10-14 05:00:00,3.08,3.51,13.83
2021-01-20 05:00:00,2.41,2.52,4.53
2021-04-15 05:00:00,4.38,5.31,21.2
2021-07-15 05:00:00,4.46,4.7,5.37
2021-10-14 05:00:00,4.42,4.52,2.35
2022-01-19 05:00:00,4.31,4.48,3.96
2022-04-14 05:00:00,5.35,5.49,2.6
2022-07-15 05:00:00,5.21,5.57,6.94
2022-10-14 05:00:00,5.44,5.79,6.5
2023-01-13 05:00:00,5.17,5.34,3.22
2023-04-14 05:00:00,6.08,6.26,3.03
2023-07-14 05:00:00,5.98,6.14,2.68
2023-10-13 05:00:00,6.35,6.56,3.34
2024-01-12 05:00:00,5.99,6.16,2.89
2024-04-16 05:00:00,6.62,6.91,4.44
2024-07-16 06:00:00,6.63,6.8,2.49
2024-10-15 06:00:00,7.03,7.15,1.7
2025-01-16 06:00:00,6.74,6.81,1.08
2025-04-17 05:00:00,7.29,7.2,-1.28
2025-07-29 05:00:00,4.45,4.08,-8.23
2025-10-28 05:00:00,2.81,2.92,3.99
2026-01-27 05:00:00,2.11,2.11,0.19
2026-04-21 06:00:00,6.6,7.23,9.52
