gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2012-03-22 10:10:00,JP Morgan,Neutral,Underweight,up,Maintains,92.0,0.0
2012-07-16 12:07:00,Deutsche Bank,Hold,Buy,down,,0.0,0.0
2012-07-20 09:49:00,Citigroup,Buy,,main,Lowers,97.0,100.0
2012-07-27 11:24:00,UBS,Neutral,Buy,down,,0.0,0.0
2012-07-27 17:29:00,UBS,Neutral,Buy,down,Maintains,90.0,0.0
2012-08-23 10:22:00,Credit Suisse,Neutral,,main,Raises,90.0,85.0
2012-09-20 09:53:00,JP Morgan,Neutral,,main,Raises,97.0,92.0
2012-09-27 13:28:00,VTB Capital,Hold,,init,Announces,90.0,0.0
2012-10-10 20:06:00,Dahlman Rose,Buy,,init,Announces,100.0,0.0
2013-01-30 12:52:29,Macquarie,Neutral,Outperform,down,Lowers,99.0,101.0
2013-02-22 11:35:37,Canaccord Genuity,Hold,,init,Announces,95.0,0.0
2013-03-26 15:45:26,Phoenix Partners Group,Hold,,main,Raises,87.5,84.5
2013-04-02 10:09:15,Oppenheimer,Perform,Outperform,down,Removes,0.0,0.0
2013-04-10 10:11:06,Morgan Stanley,Underperform,Equal-Weight,down,Lowers,85.0,90.0
2013-04-26 12:38:44,ISI Group,Neutral,Buy,down,,0.0,0.0
2013-06-17 13:06:50,Jefferies,Hold,,main,Raises,90.0,85.0
2013-06-21 11:38:13,Wells Fargo,Market Perform,,init,,0.0,0.0
2013-10-04 12:57:10,Raymond James,Strong Buy,Outperform,up,Announces,98.0,0.0
2013-11-11 13:57:53,Argus Research,Buy,Hold,up,,0.0,0.0
2013-12-05 21:00:00,Raymond James,Outperform,Strong Buy,down,Maintains,102.0,0.0
2013-12-06 21:00:00,HSBC,Underweight,,init,Announces,92.0,0.0
2013-12-12 21:00:00,RBC Capital,Outperform,,init,Announces,105.0,0.0
2013-12-16 21:00:00,Goldman Sachs,Buy,Neutral,up,Raises,109.0,96.0
2014-01-08 13:30:00,Scotiabank,Sector Outperform,Sector Perform,up,Raises,110.0,94.0
2014-01-09 13:30:00,Citigroup,Neutral,Buy,down,Announces,108.0,0.0
2014-01-10 13:30:00,S&P Capital IQ,Hold,Buy,down,,0.0,0.0
2014-01-21 12:05:14,B of A Securities,Neutral,Buy,down,Lowers,106.0,110.0
2014-02-14 21:00:00,ISI Group,Strong Buy,Buy,up,,0.0,0.0
2014-03-27 14:05:01,B of A Securities,Buy,Neutral,up,,0.0,0.0
2014-04-03 12:00:00,BMO Capital,Underperform,,init,Announces,85.0,0.0
2014-04-08 20:27:01,Jefferies,Hold,,init,Announces,96.0,0.0
2014-05-02 11:12:55,B of A Securities,Buy,,main,Raises,114.0,110.0
2014-05-06 01:13:51,Barclays,Equal-Weight,,main,Raises,100.0,95.0
2014-05-08 04:15:49,Argus Research,Buy,,main,Raises,0.0,0.0
2014-05-21 23:43:38,Citigroup,Hold,,main,Lowers,102.0,108.0
2014-06-10 10:53:57,Deutsche Bank,Hold,,init,Announces,105.0,0.0
2014-07-18 01:34:29,Deutsche Bank,Hold,,main,Raises,111.0,105.0
2014-07-25 10:34:58,Barclays,Underweight,Equal-Weight,down,Raises,105.0,100.0
2014-08-13 20:00:00,Simmons & Co.,Neutral,Overweight,down,,0.0,0.0
2014-08-14 13:00:00,Credit Suisse,Neutral,,main,Raises,95.0,90.0
2014-10-21 12:30:00,Jefferies,Hold,,main,Lowers,93.0,96.0
2014-11-03 12:54:30,Credit Suisse,Neutral,,main,Raises,100.0,95.0
2014-11-03 14:00:00,JP Morgan,Neutral,,main,Lowers,98.0,101.0
