date,eps_est,eps,surprise_pct
2001-10-23 09:00:00,0.5,0.48,-3.03
2002-01-23 08:00:00,0.38,0.42,11.26
2002-04-23 09:00:00,0.39,0.31,-19.83
2002-08-01 08:00:00,0.45,0.39,-12.36
2002-10-31 08:00:00,0.42,0.44,4.99
2003-01-30 08:00:00,0.5,0.56,11.36
2003-05-01 08:00:00,0.69,0.71,2.75
2003-07-31 08:00:00,0.56,0.62,11.51
2003-10-30 08:00:00,0.62,0.55,-11.86
2004-01-29 08:00:00,0.58,0.68,17.85
2004-04-29 08:00:00,0.75,0.83,11.11
2004-07-29 08:00:00,0.88,0.88,0.46
2004-10-28 08:00:00,0.87,0.96,10.98
2005-01-31 08:00:00,1.05,1.3,23.93
2005-04-28 08:00:00,1.2,1.15,-4.01
2005-07-28 08:00:00,1.22,1.23,0.65
2005-10-27 08:00:00,1.39,1.32,-5.1
2006-01-30 08:00:00,1.45,1.65,13.48
2006-04-27 08:00:00,1.46,1.41,-3.69
2006-07-27 08:00:00,1.64,1.72,4.62
2006-10-26 08:00:00,1.59,1.77,11.39
2007-02-01 09:00:00,1.52,1.69,11.4
2007-04-26 08:00:00,1.53,1.62,6.23
2007-07-26 09:00:00,1.96,1.83,-6.66
2007-11-01 08:00:00,1.74,1.7,-2.09
2008-02-01 08:00:00,1.98,2.13,7.85
2008-05-01 08:00:00,2.11,2.03,-3.96
2008-07-31 08:00:00,2.53,2.27,-10.31
2008-10-30 08:00:00,2.38,2.59,8.75
2009-01-30 08:00:00,1.51,1.55,2.47
2009-04-30 08:00:00,0.95,0.92,-3.06
2009-07-30 08:00:00,1.02,0.84,-17.81
2009-10-29 09:00:00,1.03,0.98,-4.95
2010-02-01 09:00:00,1.19,1.27,6.61
2010-04-29 08:00:00,1.38,1.37,-0.95
2010-07-29 08:00:00,1.47,1.6,8.64
2010-10-28 08:00:00,1.39,1.44,3.44
2011-01-31 08:00:00,1.62,1.85,13.85
2011-04-28 08:00:00,2.02,2.14,5.9
2011-07-28 08:00:00,2.33,2.18,-6.37
2011-10-27 08:00:00,2.13,2.13,-0.17
2012-01-31 13:00:00,1.98,1.97,-0.36
2012-04-26 08:00:00,2.11,2.0,-5.13
2012-07-26 08:00:00,1.96,1.8,-8.04
2012-11-01 08:00:00,1.93,2.09,8.16
2013-02-01 08:00:00,2.0,2.2,10.26
2013-04-25 08:00:00,2.05,2.12,3.23
2013-08-01 08:00:00,1.9,1.55,-18.29
2013-10-31 08:00:00,1.78,1.79,0.58
2014-01-30 08:00:00,1.92,1.91,-0.5
2014-05-01 08:00:00,1.88,2.1,11.75
2014-07-31 08:00:00,1.86,2.05,10.02
2014-10-31 08:00:00,1.72,1.89,10.12
2015-02-02 08:00:00,1.34,1.32,-2.19
2015-04-30 08:00:00,0.83,1.17,40.97
2015-07-31 08:00:00,1.11,1.06,-4.92
2015-10-30 08:00:00,0.9,1.01,12.77
2016-02-02 08:00:00,0.64,0.67,4.95
2016-04-29 08:00:00,0.31,0.43,39.12
2016-07-29 08:00:00,0.64,0.41,-35.51
2016-10-28 08:00:00,0.6,0.63,5.64
2017-01-31 08:00:00,0.7,0.89,26.31
2017-04-28 08:00:00,0.87,0.95,9.61
2017-07-28 08:00:00,0.85,0.78,-8.46
2017-10-27 08:00:00,0.87,0.93,7.4
2018-02-02 08:00:00,1.03,0.88,-14.45
2018-04-27 08:00:00,1.1,1.09,-1.27
2018-07-27 08:00:00,1.27,0.92,-27.78
2018-11-02 08:00:00,1.22,1.46,19.42
2019-02-01 08:00:00,1.09,1.5,37.33
2019-04-26 08:00:00,0.73,0.55,-24.51
2019-08-02 07:00:00,0.71,0.61,-13.59
2019-11-01 07:00:00,0.66,0.68,2.56
2020-01-31 07:00:00,0.45,0.41,-9.58
2020-05-01 08:00:00,0.05,0.53,988.3
2020-07-31 07:00:00,-0.6,-0.7,-17.05
2020-10-30 07:00:00,-0.25,-0.18,27.8
2021-02-02 07:00:00,0.02,0.03,50.0
2021-04-30 07:00:00,0.6,0.65,8.17
2021-07-30 07:00:00,0.99,1.1,10.57
2021-10-29 07:00:00,1.52,1.58,3.79
2022-02-01 07:00:00,1.93,2.05,6.27
2022-04-29 06:00:00,2.22,2.07,-6.96
2022-07-29 06:00:00,3.89,4.14,6.46
2022-10-28 06:00:00,3.82,4.45,16.48
2023-01-31 06:00:00,3.28,3.4,3.57
2023-04-28 06:00:00,2.59,2.83,9.32
2023-07-28 06:00:00,2.02,1.94,-3.91
2023-10-27 03:00:00,2.36,2.27,-3.82
2024-02-02 06:00:00,2.19,2.48,13.04
2024-04-26 04:00:00,2.16,2.06,-4.75
2024-08-02 06:00:00,2.01,2.14,6.51
2024-11-01 06:00:00,1.87,1.92,2.6
2025-01-31 06:00:00,1.55,1.67,7.87
2025-05-02 06:00:00,1.74,1.76,1.16
2025-08-01 06:00:00,1.56,1.64,4.93
2025-10-31 06:00:00,1.82,1.88,3.03
2026-01-30 06:00:00,1.69,1.71,1.12
2026-05-01 06:00:00,1.01,1.16,15.14
