date,symbol,signal,close,strike,premium_sh,premium_ct,premium_pct,dte,hv,adx,confidence,regime,verdict,reason,pnl,ref
2026-06-29 21:57:08,NVDA,SELL_PUT,193.33,183.66,5.73,573.0,2.96,30,47.0,16.9,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 21:57:08,META,SELL_PUT,568.16,539.75,16.37,1637.0,2.88,30,46.2,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 21:57:08,IBM,SELL_PUT,272.31,258.69,11.07,1107.0,4.06,30,57.6,19.6,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 21:57:38,KO,SELL_PUT,83.29,79.13,0.71,71.0,0.85,30,24.6,15.0,,,APPROVED,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 21:57:38,PG,SELL_PUT,147.76,140.37,1.33,133.0,0.9,30,25.2,17.4,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:02:46,NVDA,SELL_PUT,193.37,183.7,5.73,573.0,2.96,30,47.0,16.9,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:02:46,META,SELL_PUT,566.87,538.53,16.2,1620.0,2.86,30,45.9,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:02:46,IBM,SELL_PUT,271.9,258.31,11.05,1105.0,4.06,30,57.6,19.6,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:02:46,KO,SELL_PUT,83.27,79.11,0.71,71.0,0.85,30,24.6,15.0,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:02:46,PG,SELL_PUT,147.97,140.58,1.32,132.0,0.89,30,25.2,17.4,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:07:58,NVDA,SELL_PUT,192.46,182.84,5.69,569.0,2.96,30,46.9,16.9,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:07:58,META,SELL_PUT,565.41,537.14,16.01,1601.0,2.83,30,45.7,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:07:58,IBM,SELL_PUT,271.13,257.57,11.01,1101.0,4.06,30,57.6,19.6,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:07:58,KO,SELL_PUT,83.34,79.17,0.71,71.0,0.85,30,24.7,15.0,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:07:58,PG,SELL_PUT,148.21,140.8,1.31,131.0,0.89,30,25.1,17.4,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:13:07,NVDA,SELL_PUT,191.53,181.96,5.66,566.0,2.95,30,46.9,16.9,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:13:07,META,SELL_PUT,564.7,536.47,15.92,1592.0,2.82,30,45.6,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:13:07,IBM,SELL_PUT,270.09,256.59,10.96,1096.0,4.06,30,57.5,19.6,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:13:07,KO,SELL_PUT,83.43,79.26,0.71,71.0,0.85,30,24.7,15.1,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:13:07,PG,SELL_PUT,148.24,140.83,1.31,131.0,0.89,30,25.1,17.4,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:18:16,NVDA,SELL_PUT,190.06,180.56,5.63,563.0,2.96,30,46.9,17.2,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:18:16,META,SELL_PUT,567.3,538.93,16.25,1625.0,2.86,30,46.0,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:18:16,IBM,SELL_PUT,270.31,256.79,10.97,1097.0,4.06,30,57.5,19.6,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:18:16,KO,SELL_PUT,83.58,79.4,0.72,72.0,0.86,30,24.8,15.1,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:18:16,PG,SELL_PUT,148.53,141.1,1.31,131.0,0.88,30,25.0,17.4,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:23:24,NVDA,SELL_PUT,190.83,181.29,5.64,564.0,2.96,30,46.9,17.2,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:23:24,META,SELL_PUT,566.7,538.37,16.18,1618.0,2.85,30,45.9,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:23:24,IBM,SELL_PUT,271.79,258.2,11.04,1104.0,4.06,30,57.6,19.6,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:23:24,KO,SELL_PUT,83.54,79.36,0.72,72.0,0.86,30,24.8,15.1,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:23:24,PG,SELL_PUT,148.26,140.85,1.31,131.0,0.89,30,25.1,17.4,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:28:32,NVDA,SELL_PUT,192.33,182.71,5.68,568.0,2.95,30,46.9,17.2,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:28:32,META,SELL_PUT,567.09,538.74,16.23,1623.0,2.86,30,46.0,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:28:32,IBM,SELL_PUT,272.26,258.65,11.07,1107.0,4.06,30,57.6,19.6,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:28:32,KO,SELL_PUT,83.36,79.2,0.71,71.0,0.85,30,24.7,15.1,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:28:32,PG,SELL_PUT,148.28,140.87,1.31,131.0,0.89,30,25.1,17.4,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:33:41,NVDA,SELL_PUT,193.31,183.64,5.73,573.0,2.96,30,47.0,17.2,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:33:41,META,SELL_PUT,567.97,539.57,16.34,1634.0,2.88,30,46.1,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:33:41,IBM,SELL_PUT,273.79,260.1,11.16,1116.0,4.08,30,57.7,19.6,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:33:41,KO,SELL_PUT,83.17,79.01,0.7,70.0,0.85,30,24.6,15.1,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:33:41,PG,SELL_PUT,147.9,140.5,1.32,132.0,0.89,30,25.2,17.4,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:38:50,NVDA,SELL_PUT,194.02,184.32,5.77,577.0,2.97,30,47.1,17.2,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-06-29 22:38:50,META,SELL_PUT,567.54,539.16,16.29,1629.0,2.87,30,46.0,18.5,,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
