date,open,close,sma5,km_signal,km_action,km_shares,lstm_signal,lstm_action,lstm_shares,lgbm_signal,lgbm_action,lgbm_shares,ppo_signal,ppo_action,ppo_shares,tfm_signal,tfm_action,tfm_shares,uv_signal,uv_action,uv_shares,td3_signal,td3_action,td3_shares
2022-02-22,3.86,3.83,3.84,strong_sell,hold,,hold,hold,,strong_buy,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_buy,hold,
2022-02-23,3.84,3.84,3.84,strong_sell,hold,,hold,hold,,hold,buy,26000,strong_buy,buy,26000,hold,buy,13000,hold,buy,26000,mild_buy,buy,26000
2022-02-24,3.82,3.76,3.83,strong_sell,hold,,hold,hold,,mild_buy,hold,,hold,hold,,strong_buy,hold,,disagree,hold,,strong_buy,hold,
2022-02-25,3.76,3.72,3.81,strong_sell,hold,,hold,hold,,strong_sell,hold,,hold,hold,,mild_buy,buy,13300,disagree,hold,,strong_buy,hold,
2022-02-28,3.7,3.63,3.76,strong_sell,hold,,hold,hold,,mild_buy,sell,26000,hold,hold,,strong_buy,hold,,disagree,hold,,strong_buy,hold,
2022-03-01,3.63,3.66,3.72,strong_sell,hold,,hold,hold,,strong_sell,buy,13200,strong_buy,hold,,mild_sell,hold,,sell,hold,,strong_buy,hold,
2022-03-02,3.64,3.66,3.69,strong_sell,hold,,hold,hold,,mild_buy,sell,13200,strong_buy,hold,,hold,sell,13100,disagree,sell,26000,strong_buy,hold,
2022-03-03,3.66,3.64,3.66,strong_sell,hold,,hold,hold,,strong_buy,buy,13100,hold,hold,,hold,hold,,hold,hold,,strong_buy,hold,
2022-03-04,3.63,3.56,3.63,strong_sell,hold,,hold,hold,,strong_sell,buy,13300,hold,hold,,strong_buy,hold,,disagree,hold,,strong_buy,hold,
2022-03-07,3.53,3.46,3.6,strong_sell,hold,,hold,hold,,strong_sell,sell,26400,hold,hold,,strong_buy,buy,13500,disagree,hold,,strong_buy,hold,
2022-03-08,3.45,3.31,3.53,strong_buy,hold,,hold,hold,,hold,hold,,mild_sell,hold,,strong_buy,hold,,disagree,hold,,strong_buy,hold,
2022-03-09,3.45,3.64,3.52,hold,buy,28900,hold,hold,,mild_sell,hold,,hold,sell,13000,strong_sell,hold,,hold,hold,,strong_sell,hold,
2022-03-10,3.77,3.62,3.52,hold,hold,,hold,hold,,mild_sell,hold,,hold,hold,,hold,sell,26700,hold,hold,,strong_sell,sell,26000
2022-03-11,3.57,3.84,3.57,hold,hold,,hold,hold,,strong_buy,hold,,hold,hold,,strong_sell,hold,,hold,hold,,strong_sell,hold,
2022-03-14,3.81,4.23,3.73,hold,hold,,hold,hold,,mild_buy,hold,,strong_sell,hold,,strong_sell,hold,,disagree,hold,,strong_sell,hold,
2022-03-15,4.34,4.13,3.89,hold,hold,,hold,hold,,mild_sell,hold,,strong_sell,sell,13000,strong_buy,hold,,disagree,hold,,strong_sell,hold,
2022-03-16,4.19,4.2,4.0,mild_sell,hold,,hold,hold,,strong_sell,hold,,strong_sell,hold,,strong_sell,hold,,sell,hold,,strong_sell,hold,
2022-03-17,4.12,4.25,4.13,mild_sell,sell,14400,hold,hold,,strong_sell,hold,,strong_sell,hold,,mild_sell,hold,,sell,hold,,strong_sell,hold,
2022-03-18,4.14,4.09,4.18,mild_sell,sell,7200,hold,hold,,strong_sell,hold,,strong_buy,hold,,strong_buy,hold,,disagree,hold,,strong_sell,hold,
2022-03-21,4.13,4.24,4.18,mild_sell,sell,3600,hold,hold,,strong_sell,hold,,strong_buy,buy,24500,strong_sell,buy,24300,sell,hold,,strong_sell,hold,
2022-03-22,4.23,4.12,4.18,mild_sell,sell,1800,strong_sell,hold,,strong_sell,hold,,strong_buy,hold,,strong_buy,sell,24300,sell,hold,,strong_sell,hold,
2022-03-23,4.13,4.05,4.15,mild_sell,sell,900,strong_sell,hold,,mild_buy,hold,,strong_buy,hold,,mild_buy,buy,24900,buy,hold,,strong_sell,hold,
2022-03-24,4.02,3.98,4.1,mild_sell,sell,500,strong_sell,hold,,mild_buy,buy,11500,strong_buy,hold,,mild_buy,hold,,buy,buy,23500,strong_sell,hold,
2022-03-25,3.98,4.03,4.08,mild_sell,sell,200,strong_buy,hold,,mild_buy,buy,5900,strong_buy,hold,,mild_sell,hold,,buy,hold,,strong_sell,hold,
2022-03-28,4.12,4.16,4.07,mild_buy,sell,100,strong_buy,buy,24200,strong_sell,buy,2800,strong_buy,hold,,strong_sell,sell,12400,buy,hold,,strong_sell,hold,
