n_weeks,data_years,data_start,data_end,median_range_pct,p25_range_pct,p75_range_pct,win_rate_pct,oracle_total_ret,oracle_cagr_pct,oracle_sharpe,ticker
286,5.5,2021-01-04,2026-06-26,18.54,12.47,26.21,98.6,7.771114118188924e+24,1451697.5,12.59,IONQ
599,11.5,2015-01-05,2026-06-26,10.43,7.69,14.14,100.0,4.657949708722079e+30,30712.3,15.0,AMD
599,11.5,2015-01-05,2026-06-26,9.85,7.01,13.59,100.0,6.512901111446587e+29,25874.7,13.89,TSLA
599,11.5,2015-01-05,2026-06-26,7.96,5.84,11.37,100.0,4.11621820639256e+24,9087.5,14.41,NVDA
599,11.5,2015-01-05,2026-06-26,5.94,4.1,9.24,100.0,5.1444043394525305e+20,4110.7,10.73,INTC
599,11.5,2015-01-05,2026-06-26,5.82,4.18,8.09,100.0,1.3992055348502049e+19,2979.3,11.66,META
599,11.5,2015-01-05,2026-06-26,5.43,3.83,7.74,100.0,7.659557463197542e+17,2292.9,12.72,AMZN
599,11.5,2015-01-05,2026-06-26,4.91,3.45,6.72,100.0,1.241107348821704e+16,1573.0,13.85,GOOGL
599,11.5,2015-01-05,2026-06-26,4.51,3.3,6.35,100.0,5648071087275924.0,1462.5,10.26,UNH
599,11.5,2015-01-05,2026-06-26,4.54,3.36,6.53,100.0,3382554933188504.0,1394.5,13.06,AAPL
599,11.5,2015-01-05,2026-06-26,4.45,3.2,6.27,99.8,1469853255881286.0,1290.2,11.72,XOM
599,11.5,2015-01-05,2026-06-26,4.21,3.06,6.18,100.0,372940797847789.0,1134.1,13.57,MSFT
599,11.5,2015-01-05,2026-06-26,4.04,2.71,5.6,100.0,143261364323982.0,1035.8,11.14,IBM
599,11.5,2015-01-05,2026-06-26,4.13,2.96,5.78,100.0,94756153915797.0,995.7,12.07,HD
599,11.5,2015-01-05,2026-06-26,3.96,2.85,5.62,99.8,67795240076759.0,964.3,12.26,MMM
599,11.5,2015-01-05,2026-06-26,4.1,2.95,5.64,100.0,52247089085140.0,940.5,13.59,ABT
601,11.6,2015-01-05,2026-07-10,3.67,2.52,4.98,99.3,5077197838956.0,743.9,12.02,XLK
213,4.1,2022-06-01,2026-06-26,3.69,2.82,5.3,100.0,595365.0,734.8,15.02,QQQ
421,8.1,2018-06-19,2026-07-10,3.52,2.58,4.83,100.0,1345650861.0,659.5,13.43,XLC
601,11.6,2015-01-05,2026-07-10,3.26,2.22,4.87,99.2,959498815273.0,630.6,11.61,XLY
599,11.5,2015-01-05,2026-06-26,3.04,2.3,4.2,99.5,107467344256.0,508.2,12.47,PG
599,11.5,2015-01-05,2026-06-26,2.89,2.13,4.05,99.8,41813585454.0,460.3,11.57,KO
599,11.5,2015-01-05,2026-06-26,2.42,1.65,3.72,95.5,3973612417.0,356.8,10.7,SPY
652,12.5,2014-01-06,2026-07-02,2.4,1.79,3.31,97.7,4634029944.0,308.7,13.01,GLD
652,12.5,2014-01-06,2026-07-02,2.21,1.67,3.02,97.4,1760783677.0,278.3,12.04,XLP
